Event,Info
0,Super Yoke,500 kg / 20 meters / 60 second time limit 
1, Deadlift,370 kg / 60 second time limit 
2, Truck Pull,28000 kg / 25 meters / 60 second time limit 
3, Power Stairs,225 kg / 60 second time limit / 15 stairs 
4, Atlas Stones,5 implements / 60 second time limit / 150 to 210 kg
