Event,Info
Carry & Flip,35 meters / 75 second time limit / 365 kg yoke (15 m) + 390 kg tire (15 m) 
 Squat Lift,318 kg / 60 second time limit 
 Farmer's Walk,125 kg / 60 meters 
 Log Lift,120 kg / 75 second time limit 
 Atlas Stones,5 implements / 75 second time limit / 100 to 160 kg
