Event,Info
0,Loading Race,4 implements / 75 second time limit / 4x 111 kg barrels 
1, Safe Lift,115 kg / 75 second time limit 
2, Fingal's Fingers,5 implements / 75 second time limit / 200 to 300 kg 
3, Deadlift,345 kg / 75 second time limit / Car deadlift 
4, Car Walk,400 kg / 25 meters / 75 second time limit 
5, Atlas Stones,5 implements / 75 second time limit / 100 to 160 kg
