Event,Info
Power Stairs,225 kg / 75 second time limit / 14 stairs 
 Car Walk,410 kg / 25 meters / 75 second time limit 
 Fingal's Fingers,5 implements / 75 second time limit / 200 to 320 kg 
 Deadlift,75 second time limit / Car deadlift 
 Log Lift,140 kg / 75 second time limit 
 Plane Pull,40000 kg / 25 meters / 75 second time limit 
 Atlas Stones,5 implements / 75 second time limit / 100 to 180 kg
