Event,Info
0,Super Yoke,363 kg / 30 meters 
1, Arm Over Arm Pull,300 kg 
2, Atlas Stones,5 implements / 75 second time limit / 95 to 160 kg 
3, Plane Pull,70000 kg 
4, Viking Press,121 kg / No resting allowed 
5, Medley,"90 second time limit / 120 kg farmer's walk (30 m), 2x 300 kg tire flip, 350 kg chain drag (15 m)"
