#,Competitor,Country,TOT. PTS
1,R. Heinla,EST,0
2,J. Pritchett,USA,0
3,M. Kieliszkowski,POL,0
4,M. Shivlyakov,RUS,0
5,D. Savatinov,BUL,0
6,M. Ferrari,BRA,0
7,B. Page,USA,0
8,Z. Hadge,USA,0
