Event,Info
Apollon's Wheels,166 kg / Cleans-Continentals-Presses 
 Max Deadlift,Hummer tires 
 Medicine Ball Toss,23 kg / For height 
 Dumbbell Press,78 kg / 90 second time limit 
 Timber Carry,392 kg / 11 meters / No straps
