Event,Info
Bale Tote,4 meters / 30 second time limit 
 Timber Carry,563 kg / 11 meters / 30 second time limit / Straps allowed 
 Max Deadlift,Elephant bar 
 Bag Over Bar,Height: 4.57 metres
