Event,Info
Timber Carry,392 kg / 11 meters / No straps 
 Weight Throw,"25 kg / For height, no bar (weight must hit suspended plate) "
 Apollon's Wheels,166 kg / 120 second time limit 
 Super Yoke,507 kg / 11 meters 
 Max Deadlift,Hummer tires 
 Dumbbell Press,90 kg / 90 second time limit
