Event,Info
Wheel of Pain,60 second time limit 
 Austrian Oak,90 second time limit / 195 or 175 kg 
 Max Deadlift,Elephant bar 
 Steintossen,84 kg / For distance (3 attempts) 
 Timber Carry,400 kg / 11 meters / 30 second time limit / No straps
