Event,Info
Super Yoke,500 kg / 18 meters / 60 second time limit 
 Farmer's Walk,"27 meters / 60 second time limit / 159 kg farmer's walk, 172 kg farmer's walk, 400 kg frame carry (30 feet each) "
 Dumbbell Press,110 kg / 75 second time limit 
 Atlas Stones,6 implements / 60 second time limit / 132 to 204 kg
