#,Competitor,Country,TOT. PTS,Timber Carry,Pts,Manhood Stones,Pts,Apollon's Wheels,Pts,Super Yoke,Pts,Max Deadlift,Pts,Dumbbell Press,Pts
1,Ž. Savickas,LTU,50.5,6.32 m,5,"3 reps, 238 kg",10,0-7-7,9,9.53 s,9,466 kg,8,9 reps,9.5
2,D. Poundstone,USA,41.5,11.59 s,8,"1 rep, 238 kg",7.5,0-2-2,3.5,9.59 s,8,413 kg,5,9 reps,9.5
3,M. Koklyaev,RUS,37,6.25 m,4,"1 rep, 238 kg",7.5,6-0-6,8,18.25 s,4,456 kg,7,8 reps,6.5
4,A. Murumets,EST,36.5,7.35 s,10,"0 reps, 205 kg",3,6-0-5,7,15.31 s,6,401 kg,4,8 reps,6.5
5,B. Magnússon,ISL,34,7.95 s,9,"0 reps, 205 kg",3,2-3-5,6,15.91 s,5,471 kg,9.5,4 reps,1.5
5,B. Siders,USA,34,2.49 m,1,"0 reps, 205 kg",3,0-8-7,10,9.32 s,10,446 kg,6,7 reps,4
7,P. Pfister,USA,32,6.45 m,6,"2 reps, 205 kg",5,0-5-3,5,13.75 s,7,398 kg,2.5,8 reps,6.5
8,O. Pekanov,UKR,28,3.51 m,3,"2 reps, 238 kg",9,0-2-1,2,21.75 s,3,471 kg,9.5,4 reps,1.5
9,V. Hatfield,USA,24,10.62 m,7,"3 reps, 205 kg",6,0-2-2,3.5,24.42 s,2,398 kg,2.5,5 reps,3
10,V. Virastyuk,UKR,8.5,2.62 m,2,Did not attempt,0,Did not attempt,0,Did not attempt,0,Did not attempt,0,8 reps,6.5
