#,Competitor,Country,TOT. PTS,Timber Carry,Pts,Manhood Stones,Pts,Apollon's Wheels,Pts,Super Yoke,Pts,Max Deadlift,Pts,Dumbbell Press,Pts
1,D. Poundstone,USA,47,14.34 s,5,"1 rep, 240 kg",8,2-4-6,8,8.84 s,9,436 kg,7,15 reps,10
2,M. Koklyaev,RUS,46,12.50 s,6,"2 reps, 211 kg",7,7-0-7,9,11.49 s,7,461 kg,10,8 reps,7
3,T. Ortmayer,USA,39.5,7.85 s,9,"1 rep, 240 kg",10,0-4-3,4,13.52 s,4,418 kg,4,9 reps,8.5
4,V. Blekaitis,LTU,38,7.62 m,4,"1 rep, 211 kg",5,0-4-4,5,8.47 s,10,451 kg,9,6 reps,5
5,P. Pfister,USA,36.5,12.49 s,7,"1 rep, 240 kg",9,0-5-5,6,13.19 s,5,396 kg,1,9 reps,8.5
6,B. Siders,USA,34,1.91 m,2,"0 reps, 211 kg",3,0-8-8,10,9.88 s,8,443 kg,8,2 reps,3
7,A. Murumets,EST,32,7.93 s,8,"0 reps, 211 kg",3,6-0-5,7,11.85 s,6,398 kg,2,7 reps,6
8,E. Katona,SRB,29,7.81 s,10,"1 rep, 211 kg",6,0-3-3,3,15.12 s,3,426 kg,5,0 reps,2
9,O. Pekanov,UKR,17,0.91 m,1,"0 reps, 211 kg",3,0-1-1,1,28.91 s,2,431 kg,6,3 reps,4
10,D. Ostlund,USA,10,4.65 m,3,-,1,0-2-2,2,32.40 s,1,411 kg,3,Withdrew,0
