Event,Info
Deadlift,365 kg / 60 second time limit / Car deadlift 
 Safe Lift,150 kg / 60 second time limit 
 Keg Toss,"7 implements / 18 to 25 kg, 5.00 metres "
 Fingal's Fingers,4 implements / 200 kg / 60 second time limit 
 Atlas Stones,5 implements / 120 to 200 kg
