Event,Info
Deadlift,"400 kg / 60 second time limit / Car deadlift, side handles "
 Super Yoke,410 kg / 30 meters / 60 second time limit 
 Loading Race,"4 implements / 75 second time limit / 2x 120 kg sacks, 2x 120 kg kegs "
 Frame Carry,365 kg / 30 meters / 60 second time limit 
 Atlas Stones,5 implements / 60 second time limit / 135 to 185 kg
