Event,Info
Deadlift,365 kg / 60 second time limit / Car deadlift 
 Farmer's Walk,150 kg / 40 meters 
 Keg Toss,"7 implements / 18 to 25 kg, 5.00 metres "
 Safe Lift,150 kg / 60 second time limit 
 Loading Race,"3 implements / 2x 110 kg tires, 1x 125 kg sack "
 Atlas Stones,5 implements / 120 to 200 kg
