Event,Info
Super Yoke,418 kg / 18 meters 
 Overhead Medley,4 implements 
 Deadlift,350 kg / 60 second time limit 
 Carry & Drag,20 meters / 160 kg farmer's walk (10 m) + chain drag (10 m) 
 Atlas Stones,5 implements / 135 to 185 kg
