Event,Info
Frame Carry,363 kg / 40 meters 
 Keg Carry,127 kg 
 Deadlift,350 kg / 75 second time limit / Partial deadlift 
 Loading Race,"5 implements / 3x 127 kg kegs, 1x 120 kg keg, 1x 120 kg barrel"
