Event,Info
Front Hold,27 kg 
 Sled Pull,"900 kg / With harness, no rope "
 Log Lift,130 kg / 60 second time limit 
 Loading Race,5 implements / 80 to 110 kg 
 Stone Over Bar,2 implements / 170 kg
