Event,Info
Front Hold,35 kg 
 Loading Race,4 implements / 100 to 120 kg 
 Deadlift,350 kg / 60 second time limit 
 Rock Press,100 kg / 75 second time limit 
 Nicol Stones,114 + 139 kg 
 Keg Toss,8 implements / 18 to 25 kg 
 Atlas Stones,5 implements / 100 to 180 kg
