Event,Info
Loading Race,"4 implements / 75 second time limit / 2 kegs: 120 kg, 2 sacks: 125 kg "
 Deadlift,360 kg / 60 second time limit / Car deadlift 
 Viking Press,150 kg / 60 second time limit / No resting allowed 
 Fingal's Fingers,5 implements / 75 second time limit / 200 to 320 kg 
 Truck Pull,12000 kg / 25 meters / 75 second time limit 
 Atlas Stones,5 implements / 75 second time limit / 130 to 186 kg
