Event,Info
Medley,"50 meters / 75 second time limit / 100 kg cannonball carry (25 m), 120 kg farmer's walk (25 m) "
 Keg Toss,"10 implements / 90 second time limit / 10x 27 kg kegs, 4.40 metres "
 Deadlift,300 kg / 75 second time limit / Car deadlift 
 Car Walk,408 kg / 25 meters / 75 second time limit 
 Rock Press,4 implements / 90 second time limit / 103 to 133 kg 
 Loading Race,3 implements / 90 second time limit / 3x 100 kg barrels
