,#,Competitor,Country,TOT. PTS,Farmer's Walk,Pts,Squat Lift,Pts,Train Pull,Pts,Atlas Stones,Pts,Log Medley,Pts,Tire Flip,Pts
0,1,M. Pudzianowski,POL,32,34.77 s,5,5 in 25.09 s,5,29.03 s,6,4 in 19.45 s,5,3 in 27.46 s,5,29.25 s,6
1,2,G. Dolan,CAN,29,42.02 s,4,5 in 25.01 s,6,38.93 s,5,4 in 20.53 s,4,3 in 27.06 s,6,35.28 s,4
2,3,P. Baltus,NED,25,33.03 s,6,5 in 32.99 s,2,45.78 s,3,4 in 18.96 s,6,3 in 29.06 s,3,34.63 s,5
3,4,I. Pedan,RUS,17,65 m,2,5 in 29.04 s,4,48.00 s,2,4 in 25.88 s,3,3 in 28.09 s,4,37.15 s,2
4,4,A. Rollinson,ENG,17,57.05 s,3,5 in 30.18 s,3,39.43 s,4,4 in 53.15 s,2,2 in 15.69 s,2,36.18 s,3
5,6,J. Marunde,USA,2,50.5 m,1,1 in 3.84 s,1,Withdrew,0,Withdrew,0,Withdrew,0,Withdrew,0
