#,Competitor,Country,TOT. PTS,Farmer's Walk,Pts,Log Lift,Pts,Arm Over Arm Pull,Pts,Tire Flip,Pts
1,P. de Bruyn,RSA,13,24.88 s,3,7 reps,2,58.25 s,4,29.6 m,4
2,H. Ollesch,GER,13,23.56 s,4,9 reps,3,63.56 s,3,25.21 m,3
3,G. Ross,NIR,9,29.09 s,2,12 reps,4,9.34 m,1,20.4 m,2
4,T. Brennan,USA,5,65.00 s,1,3 reps,1,22.65 m,2,12.67 m,1
