,#,Competitor,Country,TOT. PTS,Carry & Drag,Pts,Húsafell Stone,Pts,Loading Race,Pts,Hercules Hold,Pts,Log Lift,Pts,Medley,Pts
0,1,J. Virtanen,FIN,31.5,17.77 m,6,67.66 m,6,5 in 42.05 s,6,33.17 s,6,7 reps,1.5,46.91 s,6
1,2,S. Karlsen,NOR,22.5,10.35 m,2,66.11 m,5,5 in 45.84 s,5,24.20 s,2,8 reps,3.5,47.34 s,5
2,3,G. Ross,NIR,21,15.97 m,5,51.56 m,3,5 in 74.28 s,1,25.45 s,4,11 reps,6,65.22 s,2
3,4,J. Paananen,SWE,18.5,13.12 m,3,65.34 m,4,5 in 62.16 s,3,24.61 s,3,7 reps,1.5,47.41 s,4
4,5,N. Noga,USA,17,8.39 m,1,43.48 m,1,5 in 64.78 s,2,25.47 s,5,9 reps,5,56.81 s,3
5,6,G. Badenhorst,RSA,15.5,14.56 m,4,43.68 m,2,5 in 61.77 s,4,23.24 s,1,8 reps,3.5,72.41 s,1
