#,Competitor,Country,TOT. PTS,Loading Race,Pts,Fingal's Fingers,Pts,Keg Toss,Pts,Deadlift,Pts,Dumbbell Press,Pts,Atlas Stones,Pts
1,H. Bj̦rnsson,ISL,40,3 in 42.68 s,6,5 in 44.15 s,6,7.15 m,6,6 reps,4,6 reps,6,5 in 24.15 s,12
2,K. Janashia,GEO,29,2 in 48.46 s,2,4 in 39.64 s,4,6.75 m,4,10 reps,6,5 reps,5,4 in 25.36 s,8
3,T. Hollands,GBR,27,2 in 40.08 s,3,4 in 40.56 s,3,6.75 m,4,9 reps,5,3 reps,2,4 in 24.84 s,10
4,J. Hansson,SWE,20,3 in 74.23 s,4,5 in 50.52 s,5,6.75 m,4,2 reps,1,0 reps,0,4 in 37.96 s,6
5,D. DeVaughan,USA,17.5,3 in 68.95 s,5,4 in 42.56 s,2,5.5 m,1,4 reps,2,4 reps,3.5,3 in 35.23 s,4
6,C. Woulfe,NZL,12.5,1 in 15.22 s,1,4 in 45.27 s,1,6.5 m,2,5 reps,3,4 reps,3.5,3 in 39.36 s,2
