#,Competitor,Country,TOT. PTS,Carry & Drag,Pts,Atlas Stones,Pts,Hercules Hold,Pts,Tire Flip,Pts
1,B. Veneberg,NED,13,34.08 m,2,4 stones,3,45.75 s,4,28.6 m,4
2,L. Fekete,HUN,11,30.12 m,1,5 in 50.59 s,4,33.28 s,3,27.48 m,3
3,Å½. Savickas,LTU,9,44.13 m,4,2 stones,2,32.96 s,2,19.25 m,1
4,K. Brown,USA,7,43.18 m,3,1 stone,1,18.34 s,1,22.68 m,2
