#,Competitor,Country,TOT. PTS,Medley,Pts,Truck Pull,Pts,Power Stairs,Pts,Deadlift,Pts,Axle Press,Pts,Loading Race,Pts
1,B. Shaw,USA,30,46.53 s,6,44.82 s,6,41.58 s,6,7 reps,5,4 reps,6,2 in 26.32 s,1
2,S. P̩tursson,ISL,27,69.18 s,5,61.44 s,4,51.13 s,4,4 reps,3,3 reps,5,4 in 58.11 s,6
3,M. Felix,ENG,20,3 flips,1,49.44 s,5,8 stairs,1,8 reps,6,1 rep,3,4 in 67.48 s,4
4,S. Todorchev,BUL,17,6 flips,4,64.35 s,3,50.97 s,5,3 reps,2,0 reps,0,4 in 72.29 s,3
5,S. Romanchuk,UKR,16.5,5 flips,2.5,1 m,2,55.92 s,3,0 reps,0,2 reps,4,4 in 59.76 s,5
6,E. Smit,RSA,11.5,5 flips,2.5,0.85 m,1,11 stairs,2,6 reps,4,0 reps,0,3 in 49.07 s,2
