#,Competitor,Country,TOT. PTS,Carry & Drag,Pts,Atlas Stones,Pts,Hercules Hold,Pts,Tire Flip,Pts
1,J. Ahola,FIN,15,56.07 s,4,4 in 46.57 s,4,47.10 s,4,83.69 s,3
2,H. Girard,CAN,12,42.42 m,3,4 in 65.66 s,3,41.95 s,2,73.28 s,4
3,S. Murray,SCO,7,25.93 m,1,3 in 75.91 s,2,43.71 s,3,18.3 m,1
4,G. GudjÃ³nsson,ISL,6,41.71 m,2,2 in 37.20 s,1,36.60 s,1,25.64 m,2
