#,Competitor,Country,TOT. PTS,Loading Race,Pts,Deadlift Ladder,Pts,Car Walk,Pts,Log Lift,Pts,Wrecking Ball Hold,Pts,Stone Off,Pts
1,M. Hooper,CAN,23.5,5 in 38.31 s,6,5 in 31.21 s,6,11.64 s,6,7 reps,4.5,6.40 s,1,(Qualified),0
2,B. Shaw,USA,17.5,5 in 45.00 s,5,4 in 32.20 s,2,19.97 s,2,7 reps,4.5,66.13 s,4,1 stone,0
3,B. Thompson,USA,22,5 in 49.70 s,2,5 in 42.56 s,5,16.05 s,4,8 reps,6,81.33 s,5,0 stones,0
4,M. Felix,GBR,15,5 in 54.96 s,1,4 in 28.64 s,3,13.96 s,5,0 reps,0,140.49 s,6,(Eliminated),0
5,K. Janashia,GEO,13,5 in 49.47 s,3,3 in 19.05 s,1,18.16 s,3,5 reps,3,61.38 s,3,(Eliminated),0
6,G. Pe̱a,MEX,13,5 in 45.88 s,4,5 in 52.53 s,4,18.9 m,1,1 rep,2,48.27 s,2,(Eliminated),0
