,#,Competitor,Country,TOT. PTS,Loading Race,Pts,Keg Toss,Pts,Truck Pull,Pts,Deadlift,Pts,Axle Press,Pts,Atlas Stones,Pts
0,1,T. Mitt,EST,28.5,4 in 54.29 s,5,8 in 28.47 s,6,45.41 s,5,4 in 16.31 s,2,9 reps,5.5,5 in 23.22 s,5
1,2,T. Hollands,ENG,26.5,4 in 55.89 s,4,6 in 75.00 s,3,38.37 s,6,5 in 20.07 s,4,6 reps,3.5,5 in 21.56 s,6
2,3,K. Nee,USA,23.5,3 in 56.17 s,1,8 in 34.90 s,5,8.7 m,2,6 in 24.28 s,6,9 reps,5.5,5 in 24.67 s,4
3,4,E. Nigmatullin,RUS,18.5,4 in 63.03 s,3,6 in 75.00 s,3,52.91 s,3,5 in 25.33 s,3,6 reps,3.5,5 in 29.83 s,3
4,5,J. Virtanen,FIN,18,4 in 53.14 s,6,6 in 75.00 s,3,48.12 s,4,3 in 14.35 s,1,5 reps,2,4 in 20.94 s,2
5,6,J. Caron,CAN,11,3 in 35.42 s,2,4 in 75.00 s,1,0.75 m,1,6 in 35.23 s,5,4 reps,1,4 in 22.44 s,1
