,#,Competitor,Country,TOT. PTS,Medley,Pts,Keg Toss,Pts,Deadlift,Pts,Car Walk,Pts,Rock Press,Pts,Loading Race,Pts
0,1,M. Pudzianowski,POL,25,25.59 s,5,10 in 62.35 s,3,17 reps,5,22.44 s,5,3 in 53.40 s,4,2 in 56.45 s,3
1,2,D. Pope,USA,18.5,32.83 s,2,10 in 49.37 s,4,10 reps,2.5,22.3 m,4,4 in 83.97 s,5,2 in 83.32 s,1
2,3,A. Haugen,NOR,16,46.38 s,1,10 in 42.80 s,5,11 reps,4,7.6 m,1,0 in 90.00 s,0,3 in 89.25 s,5
3,4,R. Gharaei,IRI,16,30.08 s,4,8 in 90.00 s,2,8 reps,1,7.8 m,2,1 in 9.70 s,3,2 in 45.68 s,4
4,5,J. Paulin,CAN,11.5,31.53 s,3,7 in 90.00 s,1,10 reps,2.5,20.2 m,3,0 in 90.00 s,0,2 in 68.19 s,2
