#,Competitor,Country,TOT. PTS,Farmer's Walk,Pts,Log Lift,Pts,Arm Over Arm Pull,Pts,Tire Flip,Pts
1,M. Samuelsson,SWE,15,22.32 s,4,9 reps,4,53.18 s,4,74.22 s,3
2,J. Barr,SCO,10.5,37.96 s,2,3 reps,1.5,22.69 m,3,70.91 s,4
3,W. Price,RSA,10,27.59 s,3,6 reps,3,14.60 s,2,89.22 s,2
4,M. Abdullah,JPN,4.5,35.95 m,1,3 reps,1.5,12.61 s,1,15.58 m,1
