,#,Competitor,Country,TOT. PTS,Carry & Flip,Pts,Arm Over Arm Pull,Pts,Africa Stone,Pts,Max Deadlift,Pts,Conan's Wheel,Pts,Atlas Stones,Pts
0,1,M. Samuelsson,SWE,28,35.00 s,6,25.10 s,6,60.39 m,3,330 kg,2,1013 °,5,5 in 31.80 s,6
1,2,M. Muhr,GER,26,37.10 s,4,27.10 s,4,96 m,6,365 kg,5,1117 °,6,4 in 55.40 s,1
2,3,T. Lyndon,CAN,25,35.70 s,5,26.50 s,5,82.95 m,5,300 kg,1,1004 °,4,5 in 36.10 s,5
3,4,R. Bergmanis,LAT,17.5,41.20 s,2,30.90 s,2,71.2 m,4,350 kg,3.5,969 °,3,4 in 39.20 s,3
4,5,J. Perry,USA,16.5,39.00 s,3,27.90 s,3,39.38 m,1,350 kg,3.5,711 °,2,5 in 43.40 s,4
5,6,G. Ross,GBR,13,29.6 m,1,38.50 s,1,46.31 m,2,370 kg,6,536 °,1,4 in 42.00 s,2
