#,Competitor,Country,TOT. PTS,Carry & Drag,Pts,Viking Press,Pts,Squat Lift,Pts,Truck Pull,Pts,Fingal's Fingers,Pts,Atlas Stones,Pts
1,R. Ber,AUT,22.5,29.39 s,5,15 reps,4.5,6 in 33.73 s,4,40.46 s,4,4 in 42.13 s,3,4 in 51.63 s,2
2,E. Nigmatullin,RUS,22,30.93 s,4,12 reps,2,2 in 11.01 s,2,37.13 s,5,5 in 46.59 s,5,5 in 34.66 s,4
3,B. Haraldsson,ISL,21.5,39.61 s,2,15 reps,4.5,5 in 25.21 s,3,40.47 s,3,4 in 38.92 s,4,5 in 34.62 s,5
4,M. Philippi,USA,18,32.07 s,3,13 reps,3,7 in 30.25 s,5,47.67 s,2,3 in 42.75 s,2,5 in 36.41 s,3
5,S. Bathaiee,IRI,6,36.2 m,1,6 reps,1,2 in 11.67 s,1,17 m,1,2 in 16.93 s,1,0 in 75.00 s,1
