,#,Competitor,Country,TOT. PTS,Car Walk,Pts,Incline Log Press,Pts,Deadlift Hold,Pts,McGlashen Stones,Pts
0,1,J. Onosai,SAM,12,21.15 s,4,23 reps,4,50.69 s,3,1 in 13.28 s,1
1,1,M. Ver Magnússon,ISL,12,21.73 s,3,22 reps,3,45.51 s,2,8 in 46.99 s,4
2,3,B. Veneberg,NED,9,24.25 m,1,19 reps,1,64.55 s,4,8 in 49.35 s,3
3,4,A. Boucher,NAM,7,25.20 s,2,21 reps,2,44.30 s,1,6 in 32.22 s,2
