#,Competitor,Country,TOT. PTS,Loading Race,Pts,Deadlift Ladder,Pts,Car Walk,Pts,Log Lift,Pts,Wrecking Ball Hold,Pts,Stone Off,Pts
1,L. Stoltman,GBR,23,5 in 37.95 s,6,4 in 42.87 s,6,16.65 s,5,10 reps,6,(Did not attempt),0,(Qualified),0
2,E. IngÃ³lfsson Melsted,ISL,20,5 in 49.69 s,4,3 in 40.88 s,3,29.07 s,4,8 reps,5,63.42 s,4,5 stones,0
3,J. Coraboeuf,FRA,18,5 in 52.70 s,3,4 in 53.87 s,5,41.34 s,3,7 reps,4,60.70 s,3,5 stones,0
4,K. de Ruiter,NED,16.5,5 in 39.18 s,5,3 in 56.44 s,2,60.00 s,2,1 rep,1.5,105.65 s,6,(Eliminated),0
5,E. Singleton,USA,14.5,5 in 68.38 s,2,(Did not attempt),0,9.86 s,6,1 rep,1.5,100.34 s,5,(Eliminated),0
6,K. Lorentzen,GRL,11,4 in 34.79 s,1,4 in 56.48 s,4,11.4 m,1,6 reps,3,36.24 s,2,(Eliminated),0
