#,Competitor,Country,TOT. PTS,Car Walk,Pts,Hercules Hold,Pts,Keg Toss,Pts,Atlas Stones,Pts
1,F. Rasmussen,DEN,20,14.51 s,6,31.06 s,4,5.5 m,4,5 in 37.76 s,6
2,J. Ahola,FIN,18,17.19 s,5,35.64 s,6,4.9 m,2,5 in 47.64 s,5
3,R. Weir,ENG,16,4 m,2,32.42 s,5,5.8 m,5,3 stones,4
4,B. Lyndon,AUS,15,29.87 s,4,23.06 s,2,5.95 m,6,3 stones,3
5,M. Abdullah,JPN,9,5 m,3,20.30 s,1,5.5 m,3,1 stone,2
6,B. Rolle,BAH,6,1 m,1,29.64 s,3,4.9 m,1,0 stones,1
