#,Competitor,Country,TOT. PTS,Loading Race,Pts,Car Walk,Pts,Truck Pull,Pts,Deadlift,Pts,Dumbbell Press,Pts,Atlas Stones,Pts
1,B. Shaw,USA,33,4 in 39.64 s,6,16.88 s,6,48.03 s,5,6 reps,4,4 in 36.49 s,6,5 in 22.36 s,6
2,H. Bj̦rnsson,ISL,25.5,4 in 43.51 s,4,25.72 s,3,38.94 s,6,5 reps,2.5,3 in 38.69 s,5,5 in 28.58 s,5
3,M. Felix,ENG,21,4 in 44.60 s,3,24.72 s,4,18.56 m,4,11 reps,6,1 in 5.77 s,3,4 in 27.26 s,1
4,J. Caron,CAN,17,4 in 49.53 s,1,65.53 s,2,18.34 m,3,9 reps,5,1 in 6.03 s,2,5 in 47.42 s,4
5,R. Heinla,EST,15.5,4 in 41.26 s,5,17.1 m,1,10.82 m,1,5 reps,2.5,2 in 81.03 s,4,5 in 58.01 s,2
6,N. Best,USA,13,4 in 47.11 s,2,23.22 s,5,17.88 m,2,4 reps,1,0 in 90.00 s,0,5 in 53.05 s,3
