#,Competitor,Country,TOT. PTS,Carry & Drag,Pts,Train Pull,Pts,Africa Stone,Pts,Max Deadlift,Pts,Conan's Wheel,Pts,Atlas Stones,Pts
1,J. Virtanen,FIN,31,37.40 s,5,26.10 s,5,73.18 m,5,340 kg,5,775 °,6,4 in 28.30 s,5
2,A. Raynes,GBR,21,57.90 s,3,29.20 s,1,77.7 m,6,350 kg,6,663 °,4,4 in 70.60 s,1
3,R. Ber,AUT,20,35.20 s,6,26.90 s,4,8.74 m,1,330 kg,4,175 °,1,4 in 35.70 s,4
3,H. Ollesch,GER,20,29.7 m,1,25.80 s,6,43.4 m,2,320 kg,2,656 °,3,5 in 47.40 s,6
5,B. Schoonveld,USA,17,32 m,2,28.00 s,2,56 m,3,320 kg,2,753 °,5,4 in 38.20 s,3
5,L. Vaoga,NZL,17,39.20 s,4,27.00 s,3,66.43 m,4,320 kg,2,507 °,2,4 in 47.90 s,2
