#,Competitor,Country,TOT. PTS,Tire Flip,Pts,Africa Stone,Pts,Power Stairs,Pts,Basque Circle,Pts,Axle Press,Pts,Atlas Stones,Pts
1,J. Virtanen,FIN,33,40.90 s,6,76 m,6,31.50 s,6,190 °,6,6 reps,3,4 in 31.60 s,6
2,G. Badenhorst,RSA,23.5,44.50 s,5,39.4 m,2,36.10 s,5,160 °,5,9 reps,5.5,3 in 31.70 s,1
3,B. Schoonveld,USA,19.5,59.90 s,2,44.2 m,4,17 stairs,1,20 °,2,9 reps,5.5,4 in 33.10 s,5
4,T. Samuelsson,SWE,19,45.20 s,4,59.8 m,5,20 stairs,2,90 °,3,2 reps,1,4 in 64.90 s,4
5,B. Kerschbaumer,AUT,18,51.50 s,3,40 m,3,52.30 s,4,100 °,4,4 reps,2,3 in 25.10 s,2
6,B. Bell,GBR,13,17.5 m,1,28 m,1,21 stairs,3,-,1,8 reps,4,4 in 71.60 s,3
