#,Competitor,Country,TOT. PTS,Carry & Drag,Pts,Truck Pull,Pts,Atlas Stones,Pts,Hercules Hold,Pts,Deadlift Hold,Pts,Medley,Pts
1,B. Veneberg,NED,31,10.44 m,5,40.56 s,5,4 stones,5,45.87 s,6,62.28 s,4,54.77 s,6
2,L. Fekete,HUN,23,10.35 m,4,46.18 s,2,5 in 45.08 s,6,38.16 s,5,59.38 s,3,69.65 s,3
3,R. Bergmanis,LAT,23,7.27 m,3,45.35 s,3,4 stones,4,33.91 s,3,80.56 s,5,56.15 s,5
4,W. Baskin,USA,22,10.58 m,6,38.81 s,6,3 stones,1,33.20 s,2,131.84 s,6,91.63 s,1
5,A. Hoffmann,GER,16,3.6 m,2,45.09 s,4,4 stones,2,35.08 s,4,52.56 s,2,80.69 s,2
6,B. Pittuck,ENG,11,3.26 m,1,46.41 s,1,4 stones,3,26.79 s,1,45.00 s,1,63.09 s,4
