#,Competitor,Country,TOT. PTS,Medley,Pts,Fingal's Fingers,Pts,Log Lift,Pts,Deadlift,Pts,Keg Toss,Pts,Atlas Stones,Pts
1,T. Hollands,ENG,23.5,31.52 s,5,5 in 39.33 s,4,11 reps,1.5,7 in 26.99 s,5,9 in 90.00 s,4,5 in 22.04 s,4
2,M. Samuelsson,SWE,23,48.66 s,1,5 in 38.01 s,5,13 reps,5,7 in 38.57 s,2,10 in 64.78 s,5,5 in 21.81 s,5
3,R. Vidzis,LAT,19.5,32.59 s,4,5 in 46.19 s,3,12 reps,3.5,7 in 30.40 s,4,6 in 90.00 s,2,5 in 22.05 s,3
4,J. Bergmann,USA,12.5,45.04 s,2,5 in 48.89 s,1,12 reps,3.5,7 in 35.48 s,3,4 in 90.00 s,1,5 in 22.39 s,2
5,R. Skog,NOR,11.5,38.91 s,3,5 in 48.05 s,2,11 reps,1.5,4 in 18.55 s,1,7 in 90.00 s,3,5 in 31.16 s,1
