#,Competitor,Country,TOT. PTS,Loading Race,Pts,Deadlift Machine,Pts,Log Ladder,Pts,Conan's Wheel,Pts,Kettlebell Toss,Pts,Stone Off,Pts
1,T. Mitchell,USA,26,5 in 66.64 s,4,8 reps,6,5 in 39.44 s,6,523 °,4,7 in 34.42 s,6,(Qualified),0
2,E. Singleton,USA,24.5,5 in 46.90 s,6,6 reps,4.5,4 in 35.48 s,5,589 °,5,6 in 28.81 s,4,8 stones,0
3,E. Ingólfsson Melsted,ISL,22.5,5 in 56.41 s,5,5 reps,2.5,4 in 39.93 s,4,629 °,6,6 in 27.66 s,5,8 stones,0
4,M. Felix,GBR,12.5,4 in 54.32 s,2,6 reps,4.5,1 in 7.58 s,1,470 °,2,4 in 42.66 s,3,(Eliminated),0
5,P. Smith,GBR,11,4 in 44.79 s,3,4 reps,1,4 in 45.84 s,3,518 °,3,1 in 28.62 s,1,(Eliminated),0
6,J. Coraboeuf,FRA,8.5,3 in 40.63 s,1,5 reps,2.5,3 in 22.34 s,2,143 °,1,2 in 23.65 s,2,(Eliminated),0
