#,Competitor,Country,TOT. PTS,Carry & Drag,Pts,Fingal's Fingers,Pts,Arm Over Arm Pull,Pts,Hercules Hold,Pts,Max Deadlift,Pts,Atlas Stones,Pts
1,S. Karlsen,NOR,27.5,38.20 s,6,4 in 32.70 s,6,27.40 s,4,25.90 s,1,350 kg,5.5,4 in 27.20 s,5
2,H. Girard,CAN,27,43.90 s,5,4 in 34.30 s,5,27.20 s,5,33.70 s,5,340 kg,4,4 in 40.80 s,3
3,M. Philippi,USA,22.5,34.8 m,4,3 in 39.10 s,2,28.60 s,3,30.60 s,4,350 kg,5.5,4 in 39.00 s,4
4,T. Samuelsson,SWE,21,27.3 m,1,4 in 46.90 s,4,26.80 s,6,27.90 s,3,No lift,1,5 in 43.50 s,6
5,M. Iliffe,GBR,14.5,28.3 m,2,3 in 39.70 s,1,29.10 s,2,41.70 s,6,330 kg,2.5,4 in 57.40 s,1
6,R. VÃ¡gadal,FRO,13.5,33 m,3,3 in 39.00 s,3,30.30 s,1,27.10 s,2,330 kg,2.5,4 in 54.60 s,2
