#,Competitor,Country,TOT. PTS,Farmer's Walk,Pts,Squat Lift,Pts,Loading Race,Pts,Overhead Medley,Pts,Atlas Stones,Pts
1,O. Novikov,UKR,17,57.54 m,5,10 reps,4,5 in 44.40 s,3,8 in 62.39 s,5,Qualified,0
2,T. Stoltman,GBR,15,42.78 m,3,8 reps,3,5 in 39.11 s,5,4 in 30.19 s,4,8 in 39.00 s,0
3,M. Boudreault,CAN,13,46.34 m,4,7 reps,2,5 in 42.57 s,4,3 in 18.78 s,3,7 in 38.30 s,0
4,T. Mitchell,USA,10,10.11 m,1,11 reps,5,5 in 54.16 s,2,3 in 19.03 s,2,Eliminated,0
5,G. Bilton,GBR,4,31.5 m,2,0 reps,0,4 in 69.17 s,1,3 in 23.66 s,1,Eliminated,0
