#,Competitor,Country,TOT. PTS,Loading Race,Pts,Deadlift Machine,Pts,Log Ladder,Pts,Conan's Wheel,Pts,Kettlebell Toss,Pts,Stone Off,Pts
1,O. Novikov,UKR,23,5 in 52.15 s,6,6 reps,6,4 in 32.50 s,4,897 °,6,1 in 9.56 s,1,(Qualified),0
2,L. Stoltman,GBR,21,5 in 62.78 s,3,5 reps,4,5 in 52.76 s,5,545 °,4,6 in 49.35 s,5,7 stones,0
3,G. Bilton,GBR,20,5 in 63.01 s,2,5 reps,4,4 in 56.84 s,3,557 °,5,6 in 19.90 s,6,7 stones,0
4,T. Evans,USA,18,5 in 57.40 s,4,5 reps,4,5 in 38.96 s,6,69 °,1,5 in 28.68 s,3,(Eliminated),0
5,K. Haraldsson,ISL,15.5,5 in 54.18 s,5,4 reps,1.5,2 in 16.28 s,2,524 °,3,5 in 15.57 s,4,(Eliminated),0
6,F. El Masri,LBN,7.5,4 in 49.57 s,1,4 reps,1.5,2 in 17.43 s,1,70 °,2,4 in 20.61 s,2,(Eliminated),0
