#,Competitor,Country,TOT. PTS,Medley,Pts,Hercules Hold,Pts,Log Lift,Pts,Squat Lift,Pts,Keg Toss,Pts,Atlas Stones,Pts
1,M. Pudzianowski,POL,24,24.23 s,5,46.33 s,5,18 reps,5,7 in 21.38 s,4,10 in 47.05 s,4,2 in 8.07 s,1
2,D. Ostlund,USA,19,26.73 s,4,37.21 s,2,10 reps,2,6 in 26.13 s,1,10 in 34.33 s,5,5 in 22.26 s,5
3,J. Marku,ENG,18.5,56.79 s,1,40.56 s,4,13 reps,3.5,7 in 20.83 s,5,2 in 90.00 s,1,5 in 27.44 s,4
4,J. Virtanen,FIN,14,27.34 s,3,38.59 s,3,8 reps,1,7 in 25.10 s,2,4 in 90.00 s,2,5 in 28.03 s,3
5,B. Haraldsson,ISL,12.5,51.90 s,2,33.69 s,1,13 reps,3.5,7 in 22.83 s,3,7 in 90.00 s,3,Withdrew,0
