#,Competitor,Country,TOT. PTS,Medley,Pts,Deadlift,Pts,Fingal's Fingers,Pts,Car Walk,Pts,Rock Press,Pts,Loading Race,Pts
1,S. Wenta,POL,26.5,29.25 s,5,9 reps,3.5,5 in 36.30 s,5,42.73 s,5,2 in 26.15 s,5,2 in 64.65 s,3
2,S. Toczek,POL,23,30.79 s,4,10 reps,5,3 in 24.83 s,2,21.3 m,4,1 in 17.43 s,3,2 in 61.97 s,5
3,J. Thigpen,USA,17,33.69 s,2,6 reps,2,4 in 34.97 s,3,8.2 m,2,1 in 11.05 s,4,2 in 63.68 s,4
4,O. Haugen,NOR,10.5,35.89 s,1,9 reps,3.5,3 in 32.59 s,1,11.9 m,3,0 in 90.00 s,0,2 in 69.49 s,2
5,M. Samuelsson,SWE,8,31.09 s,3,Did not attempt,0,5 in 40.23 s,4,5.2 m,1,Withdrew,0,Withdrew,0
