#,Competitor,Country,TOT. PTS,Loading Race,Pts,Truck Pull,Pts,Keg Toss,Pts,Deadlift,Pts,Viking Press,Pts,Atlas Stones,Pts
1,B. Shaw,USA,39.5,4 in 48.06 s,4,41.00 s,6,7.25 m,6,10 reps,6,9 reps,5.5,4 in 23.29 s,12
2,M. Kieliszkowski,POL,33.5,4 in 37.02 s,6,42.16 s,5,6.75 m,4,5 reps,3,9 reps,5.5,4 in 29.89 s,10
3,J. Els,RSA,24.5,4 in 47.27 s,5,50.87 s,3,6.75 m,4,2 reps,2,1 rep,2.5,3 in 27.05 s,8
4,G. van Staden,RSA,23.5,4 in 66.50 s,3,50.54 s,4,6.75 m,4,7 reps,4.5,6 reps,4,3 in 29.26 s,4
5,C. Gough,GBR,18,3 in 40.99 s,2,23.15 m,2,5.5 m,1,7 reps,4.5,1 rep,2.5,3 in 27.57 s,6
6,E. le Roux,AUS,4,3 in 52.56 s,1,23.1 m,1,6 m,2,Withdrew,0,Withdrew,0,Withdrew,0
