#,Competitor,Country,TOT. PTS,Arm Over Arm Pull,Pts,Loading Race,Pts,Max Squat,Pts,Log Lift,Pts
1,M. Ver Magnússon,ISL,20,56.87 s,4,4 in 99.71 s,4,410 kg,6,14 reps,6
2,J. Ojanaho,FIN,20,47.06 s,5,4 in 82.60 s,6,335 kg,4,13 reps,5
3,N. Jones,AUS,17,44.06 s,6,4 in 88.67 s,5,285 kg,3,8 reps,3
4,P. Lepik,CAN,10,22.74 m,1,1 in 14.71 s,1,410 kg,5,8 reps,3
4,V. Turchinsky,RUS,10,23.65 m,2,3 in 94.31 s,3,260 kg,2,8 reps,3
6,S. Mė�ius,LTU,7,73.00 s,3,3 in 96.86 s,2,235 kg,1,7 reps,1
