#,Competitor,Country,TOT. PTS,Loading Race,Pts,Fingal's Fingers,Pts,Deadlift,Pts,Car Walk,Pts,Log Lift,Pts,Atlas Stones,Pts
1,B. Shaw,USA,27,4 in 38.04 s,6,4 in 22.10 s,6,6 in 25.79 s,5,20.35 s,6,5 reps,4,Did not attempt,0
2,M. Wildauer,AUT,26,4 in 42.44 s,3,4 in 26.80 s,5,7 in 39.65 s,6,26.10 s,5,2 reps,1,5 in 33.98 s,6
3,G. Hicks,ENG,23,4 in 41.17 s,5,3 in 25.94 s,1,5 in 27.97 s,3,35.44 s,4,6 reps,5,4 in 28.03 s,5
4,M. Shivlyakov,RUS,18,4 in 48.50 s,2,4 in 34.56 s,3,5 in 30.13 s,2,53.94 s,3,7 reps,6,4 in 48.68 s,2
5,G. van Staden,RSA,16.5,4 in 41.89 s,4,4 in 34.34 s,4,4 in 22.98 s,1,11.5 m,1,4 reps,2.5,4 in 29.57 s,4
6,S. Cummine,CAN,14.5,4 in 56.39 s,1,4 in 41.06 s,2,5 in 25.68 s,4,24.8 m,2,4 reps,2.5,4 in 44.92 s,3
