#,Competitor,Country,TOT. PTS,Carry & Drag,Pts,Hercules Hold,Pts,Max Log Lift,Pts,Loading Race,Pts
1,G. Taylor,WAL,12.5,115.26 s,3,31.76 s,3,145 kg,4,4 implements,2.5
2,W. Price,RSA,11.5,87.37 s,4,31.06 s,2,130 kg,3,4 implements,2.5
3,B. Rolle,BAH,8.5,34.7 m,2,46.55 s,4,(No lift),1.5,3 implements,1
4,S. MÄ—Ä�ius,LTU,7.5,33.2 m,1,23.87 s,1,(No lift),1.5,5 in 89.69 s,4
