#,Competitor,Country,TOT. PTS,Truck Pull,Pts,Giant's Medley,Pts,Deadlift,Pts,Dumbbell Press,Pts,Last Man Standing,Pts
1,M. Kieliszkowski,POL,18.5,38.63 s,5,3 in 18.89 s,5,6 reps,3.5,5 in 25.81 s,5,Qualified,0
2,J. Caron,CAN,17,54.62 s,4,3 in 39.69 s,4,7 reps,5,4 in 42.76 s,4,4 reps,0
3,O. Kristiansen,NOR,7,17.8 m,1,3 in 67.90 s,2,3 reps,2,3 in 36.04 s,2,4 reps,0
4,K. Faires,USA,12.5,55.66 s,3,3 in 39.89 s,3,6 reps,3.5,3 in 25.71 s,3,No lift,0
5,L. Shahlaei,GBR,3,20.1 m,2,2 + 1.65 m,1,Withdrew,0,Withdrew,0,Eliminated,0
