#,Competitor,Country,TOT. PTS,Loading Race,Pts,Deadlift Machine,Pts,Log Ladder,Pts,Conan's Wheel,Pts,Kettlebell Toss,Pts,Stone Off,Pts
1,P. Kordiyaka,UKR,25,5 in 41.38 s,6,5 reps,2,5 in 46.00 s,5,742 Â°,6,6 in 18.09 s,6,(Qualified),0
2,T. Stoltman,GBR,20.5,5 in 43.84 s,5,6 reps,4.5,5 in 41.56 s,6,598 Â°,1,6 in 21.99 s,4,3 stones,0
3,B. Thompson,USA,20,5 in 56.56 s,4,7 reps,6,4 in 25.83 s,4,649 Â°,4,6 in 35.67 s,2,3 stones,0
4,K. Janashia,GEO,17.5,5 in 61.10 s,3,6 reps,4.5,4 in 68.35 s,2,633 Â°,3,6 in 19.93 s,5,(Eliminated),0
5,P. O'Dwyer,IRL,13,5 in 65.89 s,2,5 reps,2,3 in 25.80 s,1,722 Â°,5,6 in 31.71 s,3,(Eliminated),0
6,E. Williams,AUS,9,5 in 66.44 s,1,5 reps,2,4 in 55.89 s,3,614 Â°,2,6 in 36.40 s,1,(Eliminated),0
