#,Competitor,Country,TOT. PTS,Loading Race,Pts,Deadlift Machine,Pts,Log Ladder,Pts,Conan's Wheel,Pts,Kettlebell Toss,Pts,Stone Off,Pts
1,M. Hooper,CAN,29,5 in 42.05 s,6,8 reps,6,5 in 39.51 s,6,636 °,6,6 in 17.18 s,5,(Qualified),0
2,M. Ragg,NZL,22.5,5 in 58.72 s,4,7 reps,4.5,5 in 56.84 s,5,628 °,5,6 in 21.96 s,4,8 stones,0
3,A. Šmaukstelis,LAT,17.5,5 in 52.71 s,5,5 reps,2.5,4 in 30.44 s,3,575 °,4,6 in 25.41 s,3,8 stones,0
4,M. Kieliszkowski,POL,14,5 in 67.53 s,2,4 reps,1,4 in 33.24 s,2,538 °,3,7 in 32.44 s,6,(Eliminated),0
5,G. Hicks,GBR,11.5,4 in 53.40 s,1,7 reps,4.5,4 in 28.31 s,4,425 °,1,4 in 20.51 s,1,(Eliminated),0
6,S. Remick,USA,10.5,5 in 67.15 s,3,5 reps,2.5,4 in 38.79 s,1,470 °,2,5 in 24.31 s,2,(Eliminated),0
