#,Competitor,Country,TOT. PTS,Carry & Drag,Pts,Truck Pull,Pts,Deadlift,Pts,Car Walk,Pts,Dumbbell Press,Pts,Atlas Stones,Pts
1,P. Pfister,USA,30.5,35.90 s,6,40.91 s,6,4 in 23.25 s,1,20.30 s,6,6 reps,5.5,5 in 24.88 s,6
2,M. Pudzianowski,POL,27.5,37.81 s,5,45.40 s,5,7 in 36.50 s,5,20.72 s,5,3 reps,2.5,5 in 33.91 s,5
3,D. Sadler,ENG,22,45.17 s,3,62.31 s,3,7 in 35.19 s,6,47.41 s,2,4 reps,4,4 in 35.85 s,4
4,E. Katona,SRB,20.5,44.12 s,4,49.22 s,4,7 in 43.03 s,4,28.28 s,3,3 reps,2.5,4 in 37.14 s,3
5,A. Klyushev,RUS,17.5,49.83 s,1,70.06 s,2,7 in 45.97 s,3,25.06 s,4,6 reps,5.5,4 in 38.27 s,2
6,J. Laureys,BEL,7,49.53 s,2,70.91 s,1,5 in 33.07 s,2,5.8 m,1,0 reps,0,4 in 39.21 s,1
