#,Competitor,Country,TOT. PTS,Loading Race,Pts,Keg Toss,Pts,Car Walk,Pts,Deadlift Hold,Pts,Block Press,Pts,Atlas Stones,Pts
1,D. Poundstone,USA,30,4 in 38.57 s,6,8 in 28.41 s,5,19.28 s,6,50.21 s,2,4 in 51.93 s,6,5 in 31.26 s,5
2,S. Pétursson,ISL,23,4 in 44.98 s,4,8 in 33.13 s,4,22.79 s,4,39.75 s,1,3 in 36.02 s,4,5 in 29.72 s,6
3,J. McIntosh,ENG,21,4 in 43.73 s,5,8 in 41.09 s,3,14.4 m,1,89.49 s,6,3 in 56.04 s,2,4 in 24.19 s,4
4,K. Radzikowski,POL,20.5,4 in 60.80 s,1.5,8 in 27.49 s,6,28.53 s,3,63.41 s,4,3 in 40.44 s,3,4 in 27.38 s,3
5,V. Blekaitis,LTU,19.5,4 in 56.43 s,3,4 in 75.00 s,1.5,22.59 s,5,52.43 s,3,3 in 20.02 s,5,4 in 27.80 s,2
6,D. Boyer,AUS,10,4 in 60.80 s,1.5,4 in 75.00 s,1.5,38.94 s,2,82.21 s,5,0 in 90.00 s,0,Withdrew,0
