#,Competitor,Country,TOT. PTS,Max Axle Press,Pts,Farmer's Walk,Pts,Deadlift,Pts,Super Yoke,Pts,Atlas Stones,Pts
1,E. Singleton,USA,43.5,185 kg,9.5,35.2 m,9,8 reps,8,27.48 s,12,5 in 41.78 s,5
2,K. Faires,USA,41.5,167.5 kg,5.5,40.87 m,11,9 reps,10,31.28 s,8,5 in 27.56 s,7
3,M. Felix,GBR,41,(No lift),0,45.72 m,12,11 reps,12,39.87 s,7,5 in 26.37 s,10
4,B. Thompson,USA,39.5,185 kg,9.5,33.28 m,8,8 reps,8,29.16 s,11,4 in 34.54 s,3
5,R. Kearney,USA,38.5,185 kg,9.5,19.54 m,6,8 reps,8,29.96 s,9,5 in 27.95 s,6
6,W. Claborn,USA,36.5,185 kg,9.5,16.46 m,5,6 reps,6,25.48 m,4,5 in 22.03 s,12
7,E. Williams,AUS,34.5,150 kg,2.5,39.23 m,10,4 reps,4,29.91 s,10,5 in 27.26 s,8
8,M. Boudreault,CAN,33.5,167.5 kg,5.5,33.19 m,7,5 reps,5,27.47 m,5,5 in 25.47 s,11
8,T. Mitchell,USA,33.5,167.5 kg,5.5,4.63 m,2,10 reps,11,44.94 s,6,5 in 27.20 s,9
10,T. C̫t̩,CAN,14.5,167.5 kg,5.5,16.43 m,4,0 reps,0,16.79 m,3,4 in 52.48 s,2
11,A. Clayton,USA,14,200 kg,12,,0,0 reps,0,2.99 m,1,2 in 22.44 s,1
12,B. Benzel,USA,11.5,150 kg,2.5,13.17 m,3,0 reps,0,5.03 m,2,5 in 59.09 s,4
