#,Competitor,Country,TOT. PTS,Nicol Stones,Pts,Log Lift,Pts,Deadlift,Pts,Car Walk,Pts,Atlas Stones,Pts
1,L. Stoltman,GBR,37.5,17.56 m,7,9 reps,9.5,3 reps,5,16.35 s,8,5 in 19.91 s,8
2,T. Stoltman,GBR,36.5,17 m,6,9 reps,9.5,6 reps,8,13.22 s,9,5 in 27.03 s,4
3,E. Singleton,USA,33.5,21.44 m,8,6 reps,6.5,5 reps,7,12.26 s,10,5 in 32.71 s,2
4,K. Faires,USA,31.5,22.2 m,10,6 reps,6.5,2 reps,3,19.01 s,5,5 in 20.73 s,7
5,A. Bishop,GBR,30,15.05 m,4,5 reps,4.5,7 reps,9.5,18.35 s,6,5 in 23.81 s,6
6,A. Black,GBR,28,21.86 m,9,1 rep,2,3 reps,5,4.6 m,3,5 in 19.62 s,9
7,M. Boudreault,CAN,27,16.37 m,5,8 reps,8,0 reps,0,47.83 s,4,5 in 19.55 s,10
8,G. Pe̱a,MEX,21.5,10.85 m,2,3 reps,3,7 reps,9.5,3.15 m,2,5 in 24.62 s,5
9,M. Felix,GBR,18,14.9 m,3,0 reps,0,3 reps,5,17.74 s,7,5 in 30.61 s,3
10,G. Bilton,GBR,5.5,10.25 m,1,5 reps,4.5,(Withdrew),0,(Withdrew),0,(Withdrew),0
