#,Competitor,Country,TOT. PTS,Super Yoke,Pts,Log Lift,Pts,Frame Carry,Pts,Max Deadlift,Pts,Truck Pull,Pts,Atlas Stones,Pts
1,B. Shaw,USA,38,,7,"3 reps, 190 kg",8,8.85 s,8,440 kg,8,28.88 s,7,Did not attempt,0
2,M. Shivlyakov,RUS,33,,6,"2 reps, 190 kg",7,9.70 s,7,400 kg,5,DNF,2,5 in 61.37 s,6
3,J. Caron,CAN,32.5,,3,"3 reps, 170 kg",5,31.75 s,5,420 kg,6.5,31.37 s,6,5 in 52.67 s,7
4,R. Heinla,EST,29.5,,5,"1 rep, 190 kg",6,DNF,1,420 kg,6.5,34.34 s,3,5 in 42.55 s,8
5,M. Kieliszkowski,POL,24.5,,8,"2 reps, 170 kg",3.5,19.85 s,6,No lift,0,32.50 s,5,3 in 25.27 s,2
6,C. Woulfe,NZL,22,,4,"0 reps, 170 kg",0,DNF,4,360 kg,2,26.44 s,8,4 in 27.96 s,4
7,M. Ragg,NZL,18,,2,"2 reps, 170 kg",3.5,DNF,2,380 kg,3.5,32.84 s,4,3 in 19.27 s,3
8,A. Derks,USA,13.5,,1,"0 reps, 170 kg",0,DNF,3,380 kg,3.5,DNF,1,4 in 27.46 s,5
