Year;Comp name;#;Competitor;Country;TOT. PTS;Pts;Pts.1;Pts.2;Pts.3;Pts.4;Pts.5;Pts.6;Pts.7;Pts.8;Pts.9;Pts.10
2007;Arnold Strongman Classic;7;B. Siders;USA;28.5;1.0;1.5;9.0;7.0;8.0;2.0;;;;;
2007;Arnold Strongman Classic;8;S. MacDonald;USA;23.0;4.0;10.0;3.5;2.0;2.5;1.0;;;;;
2007;Arnold Strongman Classic;9;K. Gillingham;USA;19.0;6.0;5.0;1.0;3.0;0.0;4.0;;;;;
2007;Arnold Strongman Classic;10;T. Ortmayer;USA;17.0;8.0;1.5;2.0;0.0;2.5;3.0;;;;;
2008;Arnold Strongman Classic;1;Å½. Savickas;LTU;50.5;5.0;9.5;8.0;10.0;9.0;9.0;;;;;
2008;Arnold Strongman Classic;2;D. Poundstone;USA;41.5;8.0;9.5;5.0;7.5;8.0;3.5;;;;;
2008;Arnold Strongman Classic;3;M. Koklyaev;RUS;37.0;4.0;6.5;7.0;7.5;4.0;8.0;;;;;
2008;Arnold Strongman Classic;4;A. Murumets;EST;36.5;10.0;6.5;4.0;3.0;6.0;7.0;;;;;
2008;Arnold Strongman Classic;5;B. MagnÃºsson;ISL;34.0;9.0;1.5;9.5;3.0;5.0;6.0;;;;;
2008;Arnold Strongman Classic;5;B. Siders;USA;34.0;1.0;4.0;6.0;3.0;10.0;10.0;;;;;
2008;Arnold Strongman Classic;7;P. Pfister;USA;32.0;6.0;6.5;2.5;5.0;7.0;5.0;;;;;
2008;Arnold Strongman Classic;8;O. Pekanov;UKR;28.0;3.0;1.5;9.5;9.0;3.0;2.0;;;;;
2008;Arnold Strongman Classic;9;V. Hatfield;USA;24.0;7.0;3.0;2.5;6.0;2.0;3.5;;;;;
2008;Arnold Strongman Classic;10;V. Virastyuk;UKR;8.5;2.0;6.5;0.0;0.0;0.0;0.0;;;;;
2009;Arnold Strongman Classic;1;D. Poundstone;USA;47.0;5.0;8.0;8.0;9.0;7.0;10.0;;;;;
2009;Arnold Strongman Classic;2;M. Koklyaev;RUS;46.0;6.0;7.0;9.0;7.0;10.0;7.0;;;;;
2009;Arnold Strongman Classic;3;T. Ortmayer;USA;39.5;9.0;10.0;4.0;4.0;4.0;8.5;;;;;
2009;Arnold Strongman Classic;4;V. Blekaitis;LTU;38.0;4.0;5.0;5.0;10.0;9.0;5.0;;;;;
2009;Arnold Strongman Classic;5;P. Pfister;USA;36.5;7.0;9.0;6.0;5.0;1.0;8.5;;;;;
2009;Arnold Strongman Classic;6;B. Siders;USA;34.0;2.0;3.0;10.0;8.0;8.0;3.0;;;;;
2009;Arnold Strongman Classic;7;A. Murumets;EST;32.0;8.0;3.0;7.0;6.0;2.0;6.0;;;;;
2009;Arnold Strongman Classic;8;E. Katona;SRB;29.0;10.0;6.0;3.0;3.0;5.0;2.0;;;;;
2009;Arnold Strongman Classic;9;O. Pekanov;UKR;17.0;1.0;3.0;1.0;2.0;6.0;4.0;;;;;
2009;Arnold Strongman Classic;10;D. Ostlund;USA;10.0;3.0;1.0;2.0;1.0;3.0;0.0;;;;;
2010;Arnold Strongman Classic;1;D. Poundstone;USA;45.0;8.0;9.0;10.0;8.0;10.0;;;;;;
2010;Arnold Strongman Classic;2;Å½. Savickas;LTU;41.0;10.0;3.5;8.5;10.0;9.0;;;;;;
2010;Arnold Strongman Classic;3;T. Ortmayer;USA;37.5;7.0;8.0;8.5;7.0;7.0;;;;;;
2010;Arnold Strongman Classic;4;M. Koklyaev;RUS;37.0;9.0;7.0;7.0;6.0;8.0;;;;;;
2010;Arnold Strongman Classic;5;B. Shaw;USA;33.0;4.0;10.0;6.0;9.0;4.0;;;;;;
2010;Arnold Strongman Classic;6;D. Ostlund;USA;21.5;4.0;5.5;4.0;2.0;6.0;;;;;;
2010;Arnold Strongman Classic;7;P. Pfister;USA;19.5;6.0;5.5;2.0;1.0;5.0;;;;;;
2010;Arnold Strongman Classic;8;K. Ilin;UKR;16.0;4.0;2.0;3.0;4.0;3.0;;;;;;
2010;Arnold Strongman Classic;9;N. Best;USA;11.5;1.0;3.5;0.0;5.0;2.0;;;;;;
2010;Arnold Strongman Classic;10;B. Siders;USA;7.0;2.0;1.0;0.0;3.0;1.0;;;;;;
2011;Arnold Strongman Classic;1;B. Shaw;USA;46.5;8.0;9.5;10.0;10.0;9.0;;;;;;
2011;Arnold Strongman Classic;2;M. Jenkins;USA;39.5;7.0;4.5;9.0;9.0;10.0;;;;;;
2011;Arnold Strongman Classic;3;Å½. Savickas;LTU;37.5;10.0;9.5;5.0;6.0;7.0;;;;;;
2011;Arnold Strongman Classic;4;T. Ortmayer;USA;36.0;6.0;6.0;8.0;8.0;8.0;;;;;;
2011;Arnold Strongman Classic;5;M. Koklyaev;RUS;30.0;9.0;7.0;3.0;5.0;6.0;;;;;;
2011;Arnold Strongman Classic;6;M. Felix;GBR;24.5;2.0;8.0;7.0;4.0;3.5;;;;;;
2011;Arnold Strongman Classic;7;N. Best;USA;21.0;3.5;3.0;4.0;7.0;3.5;;;;;;
2011;Arnold Strongman Classic;8;T. Hollands;GBR;18.0;5.0;4.5;2.0;3.0;3.5;;;;;;
2011;Arnold Strongman Classic;9;S. Romanchuk;UKR;17.0;3.5;2.0;6.0;2.0;3.5;;;;;;
2012;Arnold Strongman Classic;1;M. Jenkins;USA;40.0;7.0;10.0;10.0;3.0;10.0;;;;;;
2012;Arnold Strongman Classic;2;D. Poundstone;USA;39.0;7.0;8.0;7.0;8.0;9.0;;;;;;
2012;Arnold Strongman Classic;3;Å½. Savickas;LTU;36.5;10.0;3.5;9.0;10.0;4.0;;;;;;
2012;Arnold Strongman Classic;4;B. Shaw;USA;36.0;4.0;9.0;8.0;9.0;6.0;;;;;;
2012;Arnold Strongman Classic;5;M. Burke;USA;27.5;9.0;6.5;5.0;2.0;5.0;;;;;;
2012;Arnold Strongman Classic;6;M. Koklyaev;RUS;26.0;7.0;6.5;6.0;5.5;1.0;;;;;;
2012;Arnold Strongman Classic;7;L. Shahlaei;GBR;22.5;4.0;1.5;3.5;5.5;8.0;;;;;;
2012;Arnold Strongman Classic;8;T. Hollands;GBR;19.0;4.0;3.5;1.5;7.0;3.0;;;;;;
2012;Arnold Strongman Classic;9;T. Ortmayer;USA;15.0;1.0;1.5;1.5;4.0;7.0;;;;;;
2012;Arnold Strongman Classic;10;H. BjÃ¶rnsson;ISL;13.5;2.0;5.0;3.5;1.0;2.0;;;;;;
2013;Arnold Strongman Classic;1;V. Lalas;LTU;35.0;8.5;8.5;8.0;10.0;;;;;;;
2013;Arnold Strongman Classic;2;B. Shaw;USA;34.5;7.0;10.0;9.5;8.0;;;;;;;
2013;Arnold Strongman Classic;3;M. Koklyaev;RUS;30.0;8.5;8.5;5.0;8.0;;;;;;;
2013;Arnold Strongman Classic;4;K. Radzikowski;POL;26.0;10.0;4.0;6.0;6.0;;;;;;;
2013;Arnold Strongman Classic;5;M. Burke;USA;21.5;3.5;7.0;3.0;8.0;;;;;;;
2013;Arnold Strongman Classic;6;M. Felix;GBR;20.5;2.0;6.0;9.5;3.0;;;;;;;
2013;Arnold Strongman Classic;7;J. Pritchett;USA;18.5;3.5;5.0;7.0;3.0;;;;;;;
2013;Arnold Strongman Classic;8;H. BjÃ¶rnsson;ISL;17.0;5.0;3.0;4.0;5.0;;;;;;;
2013;Arnold Strongman Classic;9;D. Poundstone;USA;11.0;6.0;2.0;0.0;3.0;;;;;;;
2013;Arnold Strongman Classic;10;A. Scherr;USA;1.0;1.0;0.0;0.0;0.0;;;;;;;
2014;Arnold Strongman Classic;1;Å½. Savickas;LTU;44.5;10.0;10.0;6.0;10.0;8.5;;;;;;
2014;Arnold Strongman Classic;2;B. Shaw;USA;42.5;8.0;9.0;8.0;9.0;8.5;;;;;;
2014;Arnold Strongman Classic;3;M. Burke;USA;35.0;5.5;8.0;9.0;4.0;8.5;;;;;;
2014;Arnold Strongman Classic;4;V. Lalas;LTU;32.0;8.0;6.0;5.0;7.5;5.5;;;;;;
2014;Arnold Strongman Classic;5;H. BjÃ¶rnsson;ISL;26.5;1.0;7.0;4.0;6.0;8.5;;;;;;
2014;Arnold Strongman Classic;6;J. Pritchett;USA;25.5;3.0;2.0;10.0;7.5;3.0;;;;;;
2014;Arnold Strongman Classic;7;M. Shivlyakov;RUS;23.0;3.0;5.0;7.0;5.0;3.0;;;;;;
2014;Arnold Strongman Classic;8;R. Oberst;USA;20.0;8.0;4.0;3.0;2.0;3.0;;;;;;
2014;Arnold Strongman Classic;9;D. Savatinov;BUL;16.5;3.0;3.0;2.0;3.0;5.5;;;;;;
2014;Arnold Strongman Classic;10;K. Radzikowski;POL;5.5;5.5;0.0;0.0;0.0;0.0;;;;;;
2015;Arnold Strongman Classic;1;B. Shaw;USA;42.5;6.0;7.0;10.0;10.0;9.5;;;;;;
2015;Arnold Strongman Classic;2;Å½. Savickas;LTU;41.5;10.0;8.0;7.5;9.0;7.0;;;;;;
2015;Arnold Strongman Classic;3;M. Kieliszkowski;POL;31.0;8.5;5.0;4.0;8.0;5.5;;;;;;
2015;Arnold Strongman Classic;4;M. Burke;USA;30.0;6.0;6.0;5.0;5.0;8.0;;;;;;
2015;Arnold Strongman Classic;4;D. Savatinov;BUL;30.0;8.5;2.0;6.0;4.0;9.5;;;;;;
2015;Arnold Strongman Classic;6;E. Hall;GBR;29.0;6.0;4.0;9.0;6.0;4.0;;;;;;
2015;Arnold Strongman Classic;7;H. BjÃ¶rnsson;ISL;28.0;3.5;10.0;2.0;7.0;5.5;;;;;;
2015;Arnold Strongman Classic;8;J. Pritchett;USA;26.0;3.5;9.0;7.5;3.0;3.0;;;;;;
2015;Arnold Strongman Classic;9;B. MagnÃºsson;ISL;5.0;2.0;3.0;0.0;0.0;0.0;;;;;;
2015;Arnold Strongman Classic;10;W. Brant;AUS;4.0;1.0;0.0;3.0;0.0;0.0;;;;;;
2016;Arnold Strongman Classic;1;Å½. Savickas;LTU;42.0;5.0;10.0;8.0;9.0;10.0;;;;;;
2016;Arnold Strongman Classic;2;B. Shaw;USA;41.0;9.0;6.0;10.0;10.0;6.0;;;;;;
2016;Arnold Strongman Classic;3;V. Lalas;LTU;36.0;6.0;9.0;7.0;5.0;9.0;;;;;;
2016;Arnold Strongman Classic;4;M. Kieliszkowski;POL;33.5;2.0;7.5;9.0;8.0;7.0;;;;;;
2016;Arnold Strongman Classic;5;H. BjÃ¶rnsson;ISL;32.5;7.0;5.0;5.5;7.0;8.0;;;;;;
2016;Arnold Strongman Classic;6;J. Pritchett;USA;24.5;8.0;3.0;2.5;6.0;5.0;;;;;;
2016;Arnold Strongman Classic;7;M. Shivlyakov;RUS;23.5;4.0;7.5;4.0;4.0;4.0;;;;;;
2016;Arnold Strongman Classic;8;D. Savatinov;BUL;17.5;3.0;3.0;5.5;3.0;3.0;;;;;;
2016;Arnold Strongman Classic;9;E. Hall;GBR;11.0;10.0;1.0;0.0;0.0;0.0;;;;;;
2016;Arnold Strongman Classic;10;A. Lysenko;RUS;10.5;1.0;3.0;2.5;2.0;2.0;;;;;;
2017;Arnold Strongman Classic;1;B. Shaw;USA;47.5;10.0;10.0;10.0;9.0;8.5;;;;;;
2017;Arnold Strongman Classic;2;H. BjÃ¶rnsson;ISL;41.5;6.5;7.0;8.0;10.0;10.0;;;;;;
2017;Arnold Strongman Classic;3;J. Pritchett;USA;39.5;8.0;8.0;9.0;6.0;8.5;;;;;;
2017;Arnold Strongman Classic;4;M. Kieliszkowski;POL;31.0;9.0;9.0;2.0;7.0;4.0;;;;;;
2017;Arnold Strongman Classic;5;M. Shivlyakov;RUS;29.0;6.5;3.0;5.0;8.0;6.5;;;;;;
2017;Arnold Strongman Classic;6;V. Lalas;LTU;25.0;3.0;6.0;7.0;4.0;5.0;;;;;;
2017;Arnold Strongman Classic;7;D. Savatinov;BUL;22.5;4.0;4.0;4.0;4.0;6.5;;;;;;
2017;Arnold Strongman Classic;8;M. Licis;USA;20.5;5.0;5.0;6.0;2.0;2.5;;;;;;
2017;Arnold Strongman Classic;9;Z. Hadge;USA;12.5;1.0;2.0;3.0;4.0;2.5;;;;;;
2017;Arnold Strongman Classic;10;K. Radzikowski;POL;3.0;2.0;1.0;0.0;0.0;0.0;;;;;;
2018;Arnold Strongman Classic;1;H. BjÃ¶rnsson;ISL;46.0;10.0;8.0;8.0;10.0;10.0;;;;;;
2018;Arnold Strongman Classic;2;B. Shaw;USA;41.5;9.0;6.5;9.0;8.0;9.0;;;;;;
2018;Arnold Strongman Classic;3;M. Shivlyakov;RUS;29.0;8.0;9.0;6.0;6.0;0.0;;;;;;
2018;Arnold Strongman Classic;4;M. Kieliszkowski;POL;29.0;5.5;10.0;7.0;2.0;4.5;;;;;;
2018;Arnold Strongman Classic;5;J. Caron;CAN;28.0;7.0;4.5;5.0;9.0;2.5;;;;;;
2018;Arnold Strongman Classic;6;M. BelÅ¡ak;SLO;24.0;5.5;6.5;2.0;3.0;7.0;;;;;;
