Year;Comp name;#;Competitor;Country;TOT. PTS;Pts;Pts.1;Pts.2;Pts.3;Pts.4;Pts.5;Pts.6;Pts.7;Pts.8;Pts.9;Pts.10
2015;Europe's Strongest Man;3;M. Felix;GBR;40;5.0;4.0;9.0;9.0;4.0;9.0;;;;;
2015;Europe's Strongest Man;3;D. Zageris;LAT;40;5.0;8.0;7.0;8.0;6.0;6.0;;;;;
2015;Europe's Strongest Man;5;M. BelÅ¡ak;SLO;35;5.0;6.0;5.0;6.0;6.0;7.0;;;;;
2015;Europe's Strongest Man;6;D. Savatinov;BUL;26;2.0;2.0;6.0;4.0;9.0;3.0;;;;;
2015;Europe's Strongest Man;7;T. Hollands;GBR;24;5.0;3.0;3.0;5.0;3.0;5.0;;;;;
2015;Europe's Strongest Man;7;L. Stoltman;GBR;24;0.0;5.0;4.0;3.0;8.0;4.0;;;;;
2015;Europe's Strongest Man;9;E. Hall;GBR;19;10.0;9.0;0.0;0.0;0.0;0.0;;;;;
2015;Europe's Strongest Man;10;R. Heinla;EST;8;8.0;0.0;0.0;0.0;0.0;0.0;;;;;
2016;Europe's Strongest Man;1;L. Shahlaei;GBR;41.0;7.5;10.0;5.5;10.0;8.0;;;;;;
2016;Europe's Strongest Man;2;H. BjÃ¶rnsson;ISL;38.5;10.0;7.0;8.5;3.0;10.0;;;;;;
2016;Europe's Strongest Man;3;J. Ã…rsjÃ¶;SWE;38.5;4.0;9.0;8.5;8.0;9.0;;;;;;
2016;Europe's Strongest Man;4;M. Kieliszkowski;POL;31.0;0.0;5.0;10.0;9.0;7.0;;;;;;
2016;Europe's Strongest Man;5;T. Hollands;GBR;29.0;7.5;6.0;5.5;7.0;3.0;;;;;;
2016;Europe's Strongest Man;6;D. Savatinov;BUL;26.0;4.0;4.0;7.0;5.0;6.0;;;;;;
2016;Europe's Strongest Man;7;M. Felix;GBR;20.5;7.5;3.0;0.0;6.0;4.0;;;;;;
2016;Europe's Strongest Man;8;A. Bishop;GBR;18.0;4.0;1.0;4.0;4.0;5.0;;;;;;
2016;Europe's Strongest Man;9;M. Lalas;LTU;15.5;7.5;8.0;0.0;0.0;0.0;;;;;;
2016;Europe's Strongest Man;10;S. PÃ©tursson;ISL;2.0;0.0;2.0;0.0;0.0;0.0;;;;;;
2017;Europe's Strongest Man;1;H. BjÃ¶rnsson;ISL;63.0;11.0;10.0;11.0;10.0;10.0;11.0;;;;;
2017;Europe's Strongest Man;2;E. Hall;GBR;61.0;9.0;11.0;9.0;11.0;11.0;10.0;;;;;
2017;Europe's Strongest Man;3;T. Hollands;GBR;48.0;10.0;4.0;10.0;7.0;9.0;8.0;;;;;
2017;Europe's Strongest Man;4;K. Janashia;GEO;43.5;7.0;7.5;8.0;8.0;7.0;6.0;;;;;
2017;Europe's Strongest Man;5;M. Felix;GBR;38.0;3.0;4.0;5.0;9.0;8.0;9.0;;;;;
2017;Europe's Strongest Man;6;M. BelÅ¡ak;SLO;36.5;8.0;9.0;4.0;4.5;6.0;5.0;;;;;
2017;Europe's Strongest Man;7;L. Stoltman;GBR;30.0;5.0;4.0;6.0;3.0;5.0;7.0;;;;;
2017;Europe's Strongest Man;8;L. Shahlaei;GBR;20.5;6.0;7.5;7.0;0.0;0.0;0.0;;;;;
2017;Europe's Strongest Man;9;R. Gordzielik;GER;19.5;1.0;4.0;2.0;4.5;4.0;4.0;;;;;
2017;Europe's Strongest Man;10;D. Zageris;LAT;13.0;4.0;0.0;3.0;6.0;0.0;0.0;;;;;
2017;Europe's Strongest Man;11;A. Bishop;GBR;6.0;2.0;4.0;0.0;0.0;0.0;0.0;;;;;
2018;Europe's Strongest Man;1;H. BjÃ¶rnsson;ISL;44.0;10.0;10.0;6.0;9.0;9.0;;;;;;
2018;Europe's Strongest Man;2;K. Janashia;GEO;36.0;7.5;8.5;7.0;5.0;8.0;;;;;;
2018;Europe's Strongest Man;3;M. Kieliszkowski;POL;35.0;3.5;1.5;10.0;10.0;10.0;;;;;;
2018;Europe's Strongest Man;4;Å½. Savickas;LTU;33.0;7.5;4.5;8.0;7.0;6.0;;;;;;
2018;Europe's Strongest Man;5;G. Hicks;GBR;27.5;7.5;7.0;2.0;8.0;3.0;;;;;;
2018;Europe's Strongest Man;6;T. Hollands;GBR;23.5;0.0;1.5;9.0;6.0;7.0;;;;;;
2018;Europe's Strongest Man;7;M. BelÅ¡ak;SLO;20.5;5.0;4.5;3.0;3.0;5.0;;;;;;
2018;Europe's Strongest Man;8;M. Felix;GBR;17.5;0.0;4.5;5.0;4.0;4.0;;;;;;
2018;Europe's Strongest Man;9;K. Radzikowski;POL;16.0;7.5;4.5;4.0;0.0;0.0;;;;;;
2018;Europe's Strongest Man;10;V. Lalas;LTU;13.0;3.5;8.5;1.0;0.0;0.0;;;;;;
2019;Europe's Strongest Man;1;H. BjÃ¶rnsson;ISL;35.5;7.5;9.0;8.0;8.0;3.0;;;;;;
2019;Europe's Strongest Man;2;M. Kieliszkowski;POL;31.0;9.0;3.0;9.0;2.0;8.0;;;;;;
2019;Europe's Strongest Man;3;K. Janashia;GEO;28.5;7.5;8.0;3.0;3.0;7.0;;;;;;
2019;Europe's Strongest Man;4;T. Stoltman;GBR;26.0;5.0;4.0;7.0;1.0;9.0;;;;;;
2019;Europe's Strongest Man;5;M. Shivlyakov;RUS;25.5;5.0;6.5;5.0;5.0;4.0;;;;;;
2019;Europe's Strongest Man;6;L. Stoltman;GBR;22.5;5.0;1.5;6.0;4.0;6.0;;;;;;
2019;Europe's Strongest Man;7;M. Felix;GBR;21.0;0.0;5.0;2.0;9.0;5.0;;;;;;
2019;Europe's Strongest Man;8;A. Bishop;GBR;18.5;0.0;6.5;4.0;6.0;2.0;;;;;;
2019;Europe's Strongest Man;9;L. Shahlaei;GBR;11.5;3.0;1.5;0.0;7.0;0.0;;;;;;
2020;Europe's Strongest Man;1;L. Richardson;GBR;69.0;5.5;10.0;12.0;10.0;8.0;2.5;5.0;7.0;9.0;;
2020;Europe's Strongest Man;2;A. Bishop;GBR;64.0;5.5;6.0;8.0;12.0;8.0;4.5;9.0;9.0;2.0;;
2020;Europe's Strongest Man;3;E. Toots;EST;57.0;5.5;3.0;7.0;11.0;3.0;8.5;6.0;8.0;5.0;;
2020;Europe's Strongest Man;4;G. Hicks;GBR;54.5;12.0;1.0;11.0;4.0;8.0;2.5;3.0;5.0;8.0;;
2020;Europe's Strongest Man;5;A. Page;GBR;54.0;9.5;7.0;5.0;6.0;5.0;8.5;2.0;4.0;7.0;;
2020;Europe's Strongest Man;6;M. Felix;GBR;49.0;0.0;12.0;9.0;7.0;6.0;0.0;8.0;1.0;6.0;;
2020;Europe's Strongest Man;6;P. O'Dwyer;IRL;49.0;9.5;4.0;4.0;8.0;3.0;6.5;7.0;3.0;4.0;;
2020;Europe's Strongest Man;8;G. Bilton;GBR;46.0;5.5;9.0;6.0;5.0;3.0;4.5;4.0;6.0;3.0;;
2020;Europe's Strongest Man;9;J. Osborn;HUN;38.0;9.5;5.0;10.0;3.0;0.0;6.5;1.0;2.0;1.0;;
2020;Europe's Strongest Man;10;P. Benton;GBR;23.0;3.0;8.0;3.0;9.0;0.0;0.0;0.0;0.0;0.0;;
2020;Europe's Strongest Man;11;T. Hollands;GBR;15.0;0.0;11.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;;
2020;Europe's Strongest Man;12;A. Lungu;ROU;13.5;9.5;2.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;;
2021;Europe's Strongest Man;1;L. Stoltman;GBR;40.5;9.5;9.0;4.0;9.0;9.0;;;;;;
2021;Europe's Strongest Man;2;O. Novikov;UKR;39.0;8.0;4.0;7.0;10.0;10.0;;;;;;
2021;Europe's Strongest Man;3;G. Hicks;GBR;30.5;9.5;3.0;9.0;3.0;6.0;;;;;;
2021;Europe's Strongest Man;4;R. Heinla;EST;30.0;0.0;7.0;10.0;5.0;8.0;;;;;;
2021;Europe's Strongest Man;5;M. Lalas;LTU;28.0;0.0;10.0;7.0;7.0;4.0;;;;;;
2021;Europe's Strongest Man;5;P. O'Dwyer;IRL;28.0;0.0;6.0;7.0;8.0;7.0;;;;;;
2021;Europe's Strongest Man;7;E. Toots;EST;20.0;0.0;8.0;3.0;4.0;5.0;;;;;;
2021;Europe's Strongest Man;8;G. Bilton;GBR;12.0;0.0;5.0;5.0;2.0;0.0;;;;;;
2021;Europe's Strongest Man;9;J. Hansson;SWE;11.0;0.0;2.0;0.0;6.0;3.0;;;;;;
2021;Europe's Strongest Man;10;A. Bishop;GBR;1.0;0.0;1.0;0.0;0.0;0.0;;;;;;
2022;Europe's Strongest Man;1;O. Novikov;UKR;52.0;10.0;10.0;12.0;8.0;12.0;;;;;;
2022;Europe's Strongest Man;2;L. Stoltman;GBR;48.0;12.0;8.0;8.0;9.0;11.0;;;;;;
2022;Europe's Strongest Man;3;K. Janashia;GEO;38.5;6.5;12.0;3.0;7.0;10.0;;;;;;
2022;Europe's Strongest Man;4;P. Kordiyaka;UKR;37.0;10.0;1.0;9.0;11.0;6.0;;;;;;
2022;Europe's Strongest Man;5;S. Flowers;GBR;36.5;6.5;7.0;10.0;10.0;3.0;;;;;;
2022;Europe's Strongest Man;6;A. Å maukstelis;LAT;33.0;0.0;5.0;7.0;12.0;9.0;;;;;;
2022;Europe's Strongest Man;7;E. IngÃ³lfsson Melsted;ISL;29.0;10.0;4.0;4.0;3.0;8.0;;;;;;
2022;Europe's Strongest Man;8;M. Lalas;LTU;28.5;6.5;9.0;5.0;6.0;2.0;;;;;;
2022;Europe's Strongest Man;9;K. de Ruiter;NED;23.0;0.0;2.0;11.0;5.0;5.0;;;;;;
2022;Europe's Strongest Man;10;P. O'Dwyer;IRL;20.0;0.0;6.0;6.0;4.0;4.0;;;;;;
2022;Europe's Strongest Man;11;G. Bilton;GBR;19.5;6.5;3.0;1.0;2.0;7.0;;;;;;
2022;Europe's Strongest Man;12;R. Heinla;EST;13.0;0.0;11.0;2.0;0.0;0.0;;;;;;
2021;Arnold UK;1;E. Singleton;USA;42.0;9.0;9.0;7.0;9.0;8.0;;;;;;
2021;Arnold UK;2;O. Novikov;UKR;42.0;6.0;10.0;10.0;10.0;6.0;;;;;;
2021;Arnold UK;3;T. Mitchell;USA;36.5;7.0;4.0;9.0;7.5;9.0;;;;;;
2021;Arnold UK;4;J. Caron;CAN;36.5;8.0;7.0;7.0;7.5;7.0;;;;;;
2021;Arnold UK;5;M. Felix;GBR;28.0;10.0;8.0;5.0;0.0;5.0;;;;;;
2021;Arnold UK;6;A. Black;GBR;25.0;5.0;6.0;4.0;0.0;10.0;;;;;;
2021;Arnold UK;7;N. AmbeÅ¡koviÄ‡;BIH;19.0;3.0;5.0;7.0;0.0;4.0;;;;;;
2021;Arnold UK;8;P. O'Dwyer;IRL;14.0;2.0;3.0;3.0;6.0;0.0;;;;;;
2021;Arnold UK;9;L. Stoltman;GBR;4.0;4.0;0.0;0.0;0.0;0.0;;;;;;
2021;Arnold UK;10;T. Stoltman;GBR;3.0;1.0;2.0;0.0;0.0;0.0;;;;;;
2021;Giants Live World Tour Finals;1;L. Stoltman;GBR;37.5;7.0;9.5;5.0;8.0;8.0;;;;;;
2021;Giants Live World Tour Finals;2;T. Stoltman;GBR;36.5;6.0;9.5;8.0;9.0;4.0;;;;;;
2021;Giants Live World Tour Finals;3;E. Singleton;USA;33.5;8.0;6.5;7.0;10.0;2.0;;;;;;
2021;Giants Live World Tour Finals;4;K. Faires;USA;31.5;10.0;6.5;3.0;5.0;7.0;;;;;;
2021;Giants Live World Tour Finals;5;A. Bishop;GBR;30.0;4.0;4.5;9.5;6.0;6.0;;;;;;
2021;Giants Live World Tour Finals;6;A. Black;GBR;28.0;9.0;2.0;5.0;3.0;9.0;;;;;;
2021;Giants Live World Tour Finals;7;M. Boudreault;CAN;27.0;5.0;8.0;0.0;4.0;10.0;;;;;;
2021;Giants Live World Tour Finals;8;G. PeÃ±a;MEX;21.5;2.0;3.0;9.5;2.0;5.0;;;;;;
2021;Giants Live World Tour Finals;9;M. Felix;GBR;18.0;3.0;0.0;5.0;7.0;3.0;;;;;;
2021;Giants Live World Tour Finals;10;G. Bilton;GBR;5.5;1.0;4.5;0.0;0.0;0.0;;;;;;
2022;Giants Live Strongman Classic;1;O. Novikov;UKR;54.0;12.0;8.0;12.0;12.0;10.0;;;;;;
2022;Giants Live Strongman Classic;2;M. Hooper;CAN;42.0;10.0;10.0;4.0;11.0;7.0;;;;;;
2022;Giants Live Strongman Classic;3;E. Singleton;USA;41.5;4.0;9.0;9.0;8.5;11.0;;;;;;
2022;Giants Live Strongman Classic;4;M. Boudreault;CAN;38.5;6.0;4.0;11.0;5.5;12.0;;;;;;
2022;Giants Live Strongman Classic;5;P. Smith;GBR;36.0;9.0;11.0;10.0;3.0;3.0;;;;;;
2022;Giants Live Strongman Classic;6;E. Williams;AUS;34.0;3.0;12.0;8.0;3.0;8.0;;;;;;
2022;Giants Live Strongman Classic;7;S. Remick;USA;32.5;7.0;5.0;6.0;8.5;6.0;;;;;;
2022;Giants Live Strongman Classic;8;G. Bilton;GBR;30.5;8.0;6.0;2.0;5.5;9.0;;;;;;
2022;Giants Live Strongman Classic;9;R. Kearney;USA;28.0;11.0;2.0;3.0;7.0;5.0;;;;;;
2022;Giants Live Strongman Classic;10;M. Felix;GBR;28.0;2.0;7.0;7.0;10.0;2.0;;;;;;
2022;Giants Live Strongman Classic;11;K. McClelland;USA;20.0;5.0;3.0;5.0;3.0;4.0;;;;;;
2022;Giants Live Strongman Classic;12;A. Black;GBR;1.0;1.0;0.0;0.0;0.0;0.0;;;;;;
2022;Giants Live World Open;1;P. Nakonechnyy;UKR;49.0;8.5;11.0;9.5;9.0;11.0;;;;;;
2022;Giants Live World Open;2;M. Hooper;CAN;47.5;8.5;10.0;11.0;11.0;7.0;;;;;;
2022;Giants Live World Open;3;O. Novikov;UKR;39.5;5.0;8.0;9.5;8.0;9.0;;;;;;
2022;Giants Live World Open;4;G. Hicks;GBR;37.5;8.5;7.0;6.0;10.0;6.0;;;;;;
2022;Giants Live World Open;5;G. Bilton;GBR;34.0;5.0;6.0;7.0;6.0;10.0;;;;;;
2022;Giants Live World Open;6;R. Heinla;EST;33.0;11.0;2.0;8.0;7.0;5.0;;;;;;
2022;Giants Live World Open;7;A. Black;GBR;20.0;2.0;5.0;5.0;4.0;4.0;;;;;;
2022;Giants Live World Open;8;S. Flowers;GBR;18.0;2.0;3.0;0.0;5.0;8.0;;;;;;
2022;Giants Live World Open;9;E. Singleton;USA;14.0;5.0;9.0;0.0;0.0;0.0;;;;;;
2022;Giants Live World Open;10;I. Makarov;GEO;8.5;8.5;0.0;0.0;0.0;0.0;;;;;;
2022;Giants Live World Open;11;P. O'Dwyer;IRL;6.0;2.0;4.0;0.0;0.0;0.0;;;;;;
2022;Giants Live World Tour Finals;1;M. Hooper;CAN;52.0;11.0;12.0;10.0;10.0;9.0;;;;;;
2022;Giants Live World Tour Finals;2;A. Å maukstelis;LAT;47.5;8.0;8.0;8.0;11.5;12.0;;;;;;
2022;Giants Live World Tour Finals;3;K. Faires;USA;46.0;12.0;10.0;8.0;6.0;10.0;;;;;;
2022;Giants Live World Tour Finals;4;P. Nakonechnyy;UKR;40.0;4.0;6.0;12.0;7.0;11.0;;;;;;
2022;Giants Live World Tour Finals;5;P. Kordiyaka;UKR;38.0;2.0;11.0;5.5;11.5;8.0;;;;;;
2022;Giants Live World Tour Finals;6;R. Heinla;EST;29.0;3.0;5.0;11.0;4.0;6.0;;;;;;
2022;Giants Live World Tour Finals;7;P. Smith;GBR;28.5;9.0;7.0;3.0;8.5;1.0;;;;;;
2022;Giants Live World Tour Finals;8;P. O'Dwyer;IRL;27.0;1.0;9.0;5.5;8.5;3.0;;;;;;
2022;Giants Live World Tour Finals;9;E. Williams;AUS;23.0;6.0;3.0;3.0;4.0;7.0;;;;;;
2022;Giants Live World Tour Finals;10;M. Felix;GBR;19.0;5.0;1.0;8.0;0.0;5.0;;;;;;
2022;Giants Live World Tour Finals;11;A. Black;GBR;19.0;10.0;2.0;3.0;0.0;4.0;;;;;;
2022;Giants Live World Tour Finals;12;L. Jack;GBR;18.0;7.0;4.0;1.0;4.0;2.0;;;;;;
2021;Rogue Invitational;1;M. Licis;USA;45.0;8.0;9.0;9.0;9.0;10.0;;;;;;
2021;Rogue Invitational;2;T. Stoltman;GBR;42.0;9.0;6.0;10.0;8.0;9.0;;;;;;
2021;Rogue Invitational;3;O. Novikov;UKR;34.0;5.0;10.0;7.0;6.0;6.0;;;;;;
2021;Rogue Invitational;4;M. Kieliszkowski;POL;29.5;1.5;8.0;8.0;10.0;2.0;;;;;;
2021;Rogue Invitational;5;J. Caron;CAN;28.0;10.0;2.0;1.0;7.0;8.0;;;;;;
2021;Rogue Invitational;6;R. Kearney;USA;26.0;6.0;5.0;5.0;3.0;7.0;;;;;;
2021;Rogue Invitational;7;B. Shaw;USA;23.0;7.0;7.0;3.0;5.0;1.0;;;;;;
2021;Rogue Invitational;8;L. Stoltman;GBR;22.0;3.0;4.0;6.0;4.0;5.0;;;;;;
2021;Rogue Invitational;9;M. Shivlyakov;RUS;13.5;1.5;3.0;4.0;2.0;3.0;;;;;;
2021;Rogue Invitational;10;J. Pritchett;USA;12.0;4.0;1.0;2.0;1.0;4.0;;;;;;
2023;Rogue Invitational;1;M. Hooper;CAN;42.0;8.0;9.0;7.0;9.0;9.0;;;;;;
2023;Rogue Invitational;2;T. Stoltman;GBR;40.0;6.0;5.0;9.0;10.0;10.0;;;;;;
2023;Rogue Invitational;3;M. Kieliszkowski;POL;31.5;0.0;10.0;10.0;4.5;7.0;;;;;;
2023;Rogue Invitational;4;E. Singleton;USA;28.5;4.0;8.0;8.0;2.5;6.0;;;;;;
2023;Rogue Invitational;5;B. Thompson;USA;25.5;9.5;1.0;3.0;7.0;5.0;;;;;;
2023;Rogue Invitational;6;M. Boudreault;CAN;23.5;0.0;6.0;5.0;4.5;8.0;;;;;;
2023;Rogue Invitational;7;T. Evans;USA;23.0;5.0;3.0;4.0;7.0;4.0;;;;;;
2023;Rogue Invitational;8;L. Stoltman;GBR;22.0;3.0;7.0;2.0;7.0;3.0;;;;;;
2023;Rogue Invitational;9;O. Novikov;UKR;21.5;7.0;4.0;6.0;2.5;2.0;;;;;;
2023;Rogue Invitational;10;T. Mitchell;USA;11.5;9.5;2.0;0.0;0.0;0.0;;;;;;
1986;WSM Final;1;J. Sigmarsson;ISL;59.0;7.0;8.0;8.0;6.0;7.0;7.0;8.0;8.0;;;
1986;WSM Final;2;G. Capes;GBR;55.0;8.0;7.0;7.0;8.0;3.0;8.0;7.0;7.0;;;
1986;WSM Final;3;A. Wolders;NED;37.5;4.0;5.0;5.0;7.0;4.0;2.0;5.5;5.0;;;
1986;WSM Final;4;D. Markovic;CAN;34.0;3.0;4.0;3.0;5.0;5.0;4.0;4.0;6.0;;;
1986;WSM Final;5;J. Brulois;FRA;31.5;2.0;3.0;2.0;4.0;6.0;5.0;5.5;4.0;;;
1986;WSM Final;6;K. Wallas;AUT;22.0;5.0;2.0;4.0;3.0;2.0;6.0;0.0;0.0;;;
1986;WSM Final;7;I. Nummisto;FIN;19.0;6.0;6.0;6.0;0.0;1.0;0.0;0.0;0.0;;;
1986;WSM Final;8;R. Brown;USA;14.0;1.0;1.0;1.0;0.0;8.0;3.0;0.0;0.0;;;
1997;WSM Final;1;J. Ahola;FIN;61.0;6.0;9.0;6.0;8.0;7.0;9.0;10.0;6.0;;;
1997;WSM Final;2;F. Rasmussen;DEN;57.0;10.0;9.0;5.0;7.0;8.0;10.0;4.0;4.0;;;
1997;WSM Final;3;M. Samuelsson;SWE;52.5;9.0;1.5;10.0;10.0;3.0;7.0;2.0;10.0;;;
1997;WSM Final;4;T. Ã“lafsson;ISL;45.5;5.0;4.0;7.0;4.0;4.5;6.0;7.0;8.0;;;
1997;WSM Final;5;R. Bergmanis;LAT;44.5;4.0;4.0;1.0;6.0;4.5;8.0;8.0;9.0;;;
1997;WSM Final;6;H. Ollesch;GER;43.5;7.0;6.5;8.0;3.0;2.0;4.0;6.0;7.0;;;
1997;WSM Final;7;M. Philippi;USA;40.5;1.0;6.5;4.0;2.0;10.0;3.0;9.0;5.0;;;
1997;WSM Final;8;S. Karlsen;NOR;33.0;8.0;4.0;9.0;9.0;1.0;1.0;1.0;0.0;;;
1997;WSM Final;9;D. Boyer;FIJ;28.5;3.0;1.5;3.0;5.0;6.0;5.0;5.0;0.0;;;
1997;WSM Final;10;H. Collins;USA;28.0;2.0;9.0;2.0;1.0;9.0;2.0;3.0;0.0;;;
1999;WSM Final;1;J. Ahola;FIN;60.0;9.0;10.0;6.0;9.0;9.0;8.0;9.0;;;;
1999;WSM Final;2;J. Virtanen;FIN;53.0;8.0;6.0;8.0;8.0;10.0;6.0;7.0;;;;
1999;WSM Final;3;S. Karlsen;NOR;52.5;10.0;9.0;7.0;5.0;7.0;4.5;10.0;;;;
1999;WSM Final;4;H. Girard;CAN;49.5;7.0;3.5;9.0;4.0;8.0;10.0;8.0;;;;
1999;WSM Final;5;M. Samuelsson;SWE;47.0;6.0;6.0;10.0;7.0;5.0;9.0;4.0;;;;
1999;WSM Final;6;B. Veneberg;NED;41.0;5.0;8.0;5.0;6.0;4.0;7.0;6.0;;;;
1999;WSM Final;7;T. Ã“lafsson;ISL;29.5;4.0;6.0;4.0;3.0;6.0;4.5;2.0;;;;
1999;WSM Final;8;L. Fekete;HUN;23.0;2.0;2.0;2.0;10.0;2.0;2.0;3.0;;;;
1999;WSM Final;9;J. Barr;SCO;22.5;3.0;3.5;3.0;2.0;3.0;3.0;5.0;;;;
1999;WSM Final;10;R. Minkwitz;DEN;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
2000;WSM Final;1;J. Virtanen;FIN;59;8.0;8.0;7.0;10.0;10.0;7.0;9.0;;;;
2000;WSM Final;2;S. Karlsen;NOR;54;10.0;6.0;5.0;7.0;6.0;10.0;10.0;;;;
2000;WSM Final;3;M. Samuelsson;SWE;53;9.0;4.0;9.0;8.0;7.0;8.0;8.0;;;;
2000;WSM Final;4;M. Pudzianowski;POL;49;4.0;9.0;10.0;6.0;8.0;5.0;7.0;;;;
2000;WSM Final;5;P. Pfister;USA;42;1.0;5.0;4.0;9.0;9.0;9.0;5.0;;;;
2000;WSM Final;6;M. Muhr;GER;40;2.0;10.0;8.0;5.0;3.0;6.0;6.0;;;;
2000;WSM Final;7;G. Badenhorst;RSA;34;5.0;7.0;6.0;4.0;5.0;4.0;3.0;;;;
2000;WSM Final;8;R. VÃ¡gadal;FRO;26;6.0;3.0;3.0;3.0;4.0;3.0;4.0;;;;
2000;WSM Final;9;H. Girard;CAN;8;7.0;1.0;0.0;0.0;0.0;0.0;0.0;;;;
2000;WSM Final;10;R. Dixon;GBR;5;3.0;2.0;0.0;0.0;0.0;0.0;0.0;;;;
2001;WSM Final;1;S. Karlsen;NOR;53.5;9.0;10.0;5.0;7.5;9.0;8.0;5.0;;;;
2001;WSM Final;2;M. Samuelsson;SWE;51.5;10.0;2.5;8.0;9.0;5.0;7.0;10.0;;;;
2001;WSM Final;3;J. Virtanen;FIN;50.0;8.0;6.0;9.0;5.0;10.0;5.0;7.0;;;;
2001;WSM Final;4;P. Pfister;USA;46.0;2.0;2.5;10.0;7.5;6.0;10.0;8.0;;;;
2001;WSM Final;5;M. Muhr;GER;40.0;3.0;7.0;3.0;2.0;7.0;9.0;9.0;;;;
2001;WSM Final;6;H. Girard;CAN;38.5;7.0;8.5;2.0;10.0;3.0;2.0;6.0;;;;
2001;WSM Final;7;J. Dymek;POL;30.0;5.0;5.0;4.0;3.0;4.0;6.0;3.0;;;;
2001;WSM Final;8;W. Zijlstra;NED;28.5;6.0;2.5;7.0;5.0;1.0;3.0;4.0;;;;
2001;WSM Final;9;J. RÃ¤sÃ¤nen;FIN;25.5;4.0;2.5;6.0;1.0;8.0;4.0;0.0;;;;
2001;WSM Final;10;A. Raynes;GBR;18.5;1.0;8.5;1.0;5.0;2.0;1.0;0.0;;;;
2002;WSM Final;1;M. Pudzianowski;POL;58.0;10.0;10.0;5.0;9.0;10.0;6.0;8.0;;;;
2002;WSM Final;2;Å½. Savickas;LTU;50.0;9.0;8.0;6.5;10.0;5.0;8.5;3.0;;;;
2002;WSM Final;3;R. Bergmanis;LAT;47.5;3.0;7.0;6.5;3.0;8.0;10.0;10.0;;;;
2002;WSM Final;4;J. Perry;USA;42.0;1.0;6.0;8.0;6.0;6.0;6.0;9.0;;;;
2002;WSM Final;5;S. Karlsen;NOR;39.0;4.0;3.0;10.0;7.0;4.0;6.0;5.0;;;;
2002;WSM Final;6;J. RÃ¤sÃ¤nen;FIN;38.5;2.0;9.0;4.0;2.0;9.0;8.5;4.0;;;;
2002;WSM Final;7;H. Girard;CAN;38.5;5.0;4.0;9.0;8.0;2.0;3.5;7.0;;;;
2002;WSM Final;8;G. Edmunds;SCO;27.5;7.0;1.0;2.5;4.0;7.0;0.0;6.0;;;;
2002;WSM Final;9;J. Dymek;POL;24.5;6.0;5.0;0.0;5.0;3.0;3.5;2.0;;;;
2002;WSM Final;10;M. Samuelsson;SWE;12.5;8.0;2.0;2.5;0.0;0.0;0.0;0.0;;;;
2003;WSM Final;1;M. Pudzianowski;POL;66;10.0;10.0;9.0;9.0;10.0;10.0;8.0;;;;
2003;WSM Final;2;Å½. Savickas;LTU;46;9.0;9.0;3.0;7.0;4.0;9.0;5.0;;;;
2003;WSM Final;3;V. Virastyuk;UKR;43;8.0;8.0;6.0;1.0;9.0;1.0;10.0;;;;
2003;WSM Final;4;R. Bergmanis;LAT;40;5.0;7.0;8.0;2.0;3.0;6.0;9.0;;;;
2003;WSM Final;4;M. Samuelsson;SWE;40;7.0;5.0;5.0;10.0;7.0;3.0;3.0;;;;
2003;WSM Final;6;J. Dymek;POL;38;1.0;4.0;7.0;3.0;8.0;8.0;7.0;;;;
2003;WSM Final;7;H. Girard;CAN;34;4.0;6.0;1.0;6.0;6.0;5.0;6.0;;;;
2003;WSM Final;8;J. Paulin;CAN;29;2.0;1.0;10.0;8.0;2.0;4.0;2.0;;;;
2003;WSM Final;9;S. Karlsen;NOR;28;6.0;3.0;2.0;5.0;1.0;7.0;4.0;;;;
2003;WSM Final;10;G. Dolan;CAN;21;3.0;2.0;4.0;4.0;5.0;2.0;1.0;;;;
2004;WSM Final;1;V. Virastyuk;UKR;37;6.0;6.0;3.0;5.0;4.0;4.0;4.0;5.0;;;
2004;WSM Final;2;Å½. Savickas;LTU;36;4.0;4.0;4.0;6.0;6.0;5.0;3.0;4.0;;;
2004;WSM Final;3;M. Samuelsson;SWE;29;5.0;1.0;1.0;2.0;5.0;6.0;6.0;3.0;;;
2004;WSM Final;4;R. Bergmanis;LAT;19;2.0;2.0;5.0;3.0;1.0;2.0;2.0;2.0;;;
2004;WSM Final;5;S. Karlsen;NOR;9;1.0;3.0;2.0;1.0;2.0;0.0;0.0;0.0;;;
2004;WSM Final;6;M. Pudzianowski;POL;DQ;3.0;5.0;6.0;4.0;3.0;3.0;5.0;6.0;;;
2005;WSM Final;1;M. Pudzianowski;POL;60.0;3.0;7.0;10.0;10.0;10.0;10.0;10.0;;;;
2005;WSM Final;2;J. Marunde;USA;46.0;10.0;5.0;7.0;9.0;5.0;4.0;6.0;;;;
2005;WSM Final;3;D. Filiou;CAN;42.0;9.0;1.0;9.0;8.0;9.0;1.0;5.0;;;;
2005;WSM Final;4;J. Dymek;POL;37.5;8.0;2.0;8.0;6.5;6.0;6.0;1.0;;;;
2005;WSM Final;5;J. Virtanen;FIN;37.0;4.0;4.0;6.0;4.0;7.0;9.0;3.0;;;;
