Year;Comp name;#;Competitor;Country;Apollon's Wheels;Max Deadlift;Hummer Push;Timber Carry;Medicine Ball Toss;Hammer Lift;Dumbbell Press;Weight Throw;Super Yoke;Manhood Stones;Austrian Oak;Bale Tote;Cyr Dumbbell;Bag Over Bar;Stone to Shoulder;HÃºsafell Stone;Wheel of Pain;Trial by Stone;Max Squat;Max Log Lift;Steintossen;Car Walk;Farmer's Walk;Atlas Stones;Truck Pull;Natural Stones;Frame Carry;Stone Over Bar;Log Lift;Deadlift;Arm Over Arm Pull;Keg Toss;Squat Lift;Viking Press;Power Stairs;Medley;Axle Press;Tank Pull;Sack Carry;Loading Race;Tire Flip;Hercules Hold;Rock Press;Conan's Wheel;Crucifix Hold;Wheelbarrow Carry;Block Carry;Max Axle Press;Shield Carry;Overhead Medley;Front Hold;Bus Pull;Flip & Drag;Nicol Stones;Deadlift Ladder;Carry & Drag;Deadlift Hold;Fingal's Fingers;Carry Medley;Log Medley;Africa Stone;Sled Pull;Keg Carry;Hip Lift;Carry & Flip;Cross Carry;Pole Push;Safe Lift;Dumbbell Medley;Cyr Dumbbell Ladder;Inver Stones;Rogue-a-Coaster;The Duel;Leg Press;Flag Hoist;McGlashen Stones;Car Flip;Tug of War;Plane Pull;Vertical Lift;Train Pull;Fridge Carry;Ding Carry;Circus Barbell;Kettlebell Toss;Overhead Press;Giant's Medley;Log Ladder;Titan's Turntable;Flintstone Barbell;Max Dumbbell;Basque Circle;Car Pull;Giant Farmer's Walk;Wrestling;Block Press;Norse Hammers;Load & Drag;Bullion Toss;Last Man Standing;Elephant Carry;Load & Carry;Circle of Strength;Loading Medley;Pickaxe Hold;Stone Off;Train Push;Wrecking Ball Hold;Deadlift Machine;Kettlebell Throw;Chain Railway Carriage;Axle Death-Lift
2019;Arnold Australia;4;M. Shivlyakov;RUS;;500 kg;;;;;;;21.75 s;;;;;;;;;;;192.5 kg;;;;3 in 86.00 s;;;;;;;;;;9 reps;33.50 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Australia;5;E. Williams;AUS;;440 kg;;;;;;;19.28 s;;;;;;;;;;;160 kg;;;;4 in 30.17 s;;;;;;;;;;8 reps;32.21 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Australia;6;J. Pritchett;USA;;520 kg;;;;;;;17.85 s;;;;;;;;;;;185 kg;;;;3 in 33.60 s;;;;;;;;;;6 reps;49.00 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Australia;7;J. Paquet;CAN;;500 kg;;;;;;;10 m;;;;;;;;;;;185 kg;;;;3 in 39.15 s;;;;;;;;;;8 reps;44.00 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Australia;8;D. Lockard;USA;;440 kg;;;;;;;27.00 s;;;;;;;;;;;175 kg;;;;3 in 33.21 s;;;;;;;;;;8 reps;43.00 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Australia;9;J. Kramer;NED;;440 kg;;;;;;;20.34 s;;;;;;;;;;;No lift;;;;4 in 32.30 s;;;;;;;;;;0 reps;40.50 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Australia;10;R. Keene;AUS;;No lift;;;;;;;22.63 s;;;;;;;;;;;185 kg;;;;2 in 16.50 s;;;;;;;;;;11 reps;7 stairs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Australia;11;J. Coraboeuf;AUS;;400 kg;;;;;;;0.3 m;;;;;;;;;;;175 kg;;;;2 in 16.00 s;;;;;;;;;;6 reps;7 stairs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Australia;12;M. Selves;AUS;;400 kg;;;;;;;3.6 m;;;;;;;;;;;160 kg;;;;0 in 90.00 s;;;;;;;;;;7 reps;6 stairs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;1;M. Kieliszkowski;POL;;;;;;;;;14.14 s;;;;;;;;;;;;;;8.43 s;;;;;;5 reps;4 reps;12.89 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;2;O. Novikov;UKR;;;;;;;;;11.69 s;;;;;;;;;;;;;;8.47 s;;;;;;3 reps;5 reps;15.49 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;3;J. Caron;CAN;;;;;;;;;15.66 s;;;;;;;;;;;;;;9.81 s;;;;;;2 reps;7 reps;20.21 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;4;M. Shivlyakov;RUS;;;;;;;;;20.15 s;;;;;;;;;;;;;;10.84 s;;;;;;4 reps;5 reps;23.28 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;5;J. Pritchett;USA;;;;;;;;;14.25 s;;;;;;;;;;;;;;9.94 s;;;;;;1 rep;6 reps;51.28 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;6;J. Paquet;CAN;;;;;;;;;24.37 s;;;;;;;;;;;;;;11.67 s;;;;;;2 reps;6 reps;24.94 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;7;B. Shaw;USA;;;;;;;;;18.34 s;;;;;;;;;;;;;;13.60 s;;;;;;3 reps;1 rep;19.31 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;8;A. Šmaukstelis;LAT;;;;;;;;;14.37 s;;;;;;;;;;;;;;9.88 s;;;;;;1 rep;2 reps;50.65 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;9;M. Belšak;SLO;;;;;;;;;12.60 s;;;;;;;;;;;;;;11.40 s;;;;;;2 reps;1 rep;8.8 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;10;R. Heinla;EST;;;;;;;;;24.75 s;;;;;;;;;;;;;;1.6 m;;;;;;3 reps;6 reps;39.50 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;11;M. Boudreault;CAN;;;;;;;;;10.04 m;;;;;;;;;;;;;;12.62 s;;;;;;4 reps;0 reps;21.53 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;12;A. Page;GBR;;;;;;;;;21.71 s;;;;;;;;;;;;;;21.68 s;;;;;;3 reps;3 reps;44.29 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;13;J. Kramer;NED;;;;;;;;;18.10 s;;;;;;;;;;;;;;12.81 s;;;;;;0 reps;3 reps;28.60 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;14;N. Ambešković;SWE;;;;;;;;;31.29 s;;;;;;;;;;;;;;18.80 s;;;;;;0 reps;6 reps;28.24 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;15;K. Gerhardt Holmqvist;SWE;;;;;;;;;4.9 m;;;;;;;;;;;;;;12.93 s;;;;;;0 reps;2 reps;18.31 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;16;B. Neitzel;USA;;;;;;;;;5.4 m;;;;;;;;;;;;;;18.63 s;;;;;;0 reps;4 reps;4.4 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;17;L. Reynolds;AUS;;;;;;;;;13.3 m;;;;;;;;;;;;;;16.72 s;;;;;;0 reps;0 reps;7.9 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold Europe;18;A. Fuhrman;USA;;;;;;;;;Withdrew;;;;;;;;;;;;;;Withdrew;;;;;;0 reps;Withdrew;Withdrew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold South America;1;O. Novikov;UKR;;;;;;;6 reps;;23.04 s;;;;;;;;;;;;;;;6 in 25.94 s;;;;;;10 reps;14.26 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold South America;2;M. Kieliszkowski;POL;;;;;;;7 reps;;17.38 s;;;;;;;;;;;;;;;6 in 19.66 s;;;;;;1 rep;14.43 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold South America;3;R. Heinla;EST;;;;;;;3 reps;;49.98 s;;;;;;;;;;;;;;;6 stones;;;;;;14 reps;12.67 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold South America;4;M. Belšak;SLO;;;;;;;5 reps;;29.01 s;;;;;;;;;;;;;;;5 in 35.02 s;;;;;;6 reps;13.88 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold South America;5;J. Pritchett;USA;;;;;;;0 reps;;23.66 s;;;;;;;;;;;;;;;6 in 36.28 s;;;;;;11 reps;17.78 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold South America;6;M. Shivlyakov;RUS;;;;;;;1 rep;;31.51 s;;;;;;;;;;;;;;;6 in 57.96 s;;;;;;11 reps;17.23 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold South America;7;J. Paquet;CAN;;;;;;;3 reps;;15.9 m;;;;;;;;;;;;;;;6 stones;;;;;;6 reps;21.53 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold South America;8;E. Williams;AUS;;;;;;;0 reps;;17.4 m;;;;;;;;;;;;;;;6 stones;;;;;;0 reps;12.68 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold South America;9;T. Aparecido;BRA;;;;;;;2 reps;;2 m;;;;;;;;;;;;;;;Withdrew;;;;;;Withdrew;16.78 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold USA;1;M. Licis;USA;;413 kg;;;;;;;;;;;;;5 reps;;;;;;;;;;19.19 s;;;;1 rep;;;;;;;;;;46.02 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold USA;2;M. Kieliszkowski;POL;;370 kg;;;;;;;;;;;;;5 reps;;;;;;;;;;17.91 s;;;;3 reps;;;;;;;;;;45.72 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold USA;3;R. Heinla;EST;;413 kg;;;;;;;;;;;;;2 reps;;;;;;;;;;21.22 s;;;;2 reps;;;;;;;;;;46.02 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold USA;4;M. Belšak;SLO;;347 kg;;;;;;;;;;;;;1 rep;;;;;;;;;;19.57 s;;;;2 reps;;;;;;;;;;36.58 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold USA;5;J. Kramer;NED;;390 kg;;;;;;;;;;;;;0 reps;;;;;;;;;;19.38 s;;;;0 reps;;;;;;;;;;22.35 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold USA;6;J. Pritchett;USA;;431 kg;;;;;;;;;;;;;Withdrew;;;;;;;;;;21.22 s;;;;0 reps;;;;;;;;;;26.8 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold USA;7;B. Clark;USA;;370 kg;;;;;;;;;;;;;0 reps;;;;;;;;;;22.81 s;;;;0 reps;;;;;;;;;;19.79 m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold USA;8;J. Caron;CAN;;Withdrew;;;;;;;;;;;;;Withdrew;;;;;;;;;;19.44 s;;;;0 reps;;;;;;;;;;Withdrew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arnold USA;9;M. Ostaszewski;POL;;Withdrew;;;;;;;;;;;;;Withdrew;;;;;;;;;;20.38 s;;;;0 reps;;;;;;;;;;Withdrew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Festival des Hommes Forts de Warwick;1;J. Caron;CAN;;;;;;;;;;;;;;;;;;;;;;;33.27 s;5 stones;18.97 m;;;;;11 reps;;6 in 28.05 s;;12 reps;;(Did not attempt);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Festival des Hommes Forts de Warwick;2;M. Boudreault;CAN;;;;;;;;;;;;;;;;;;;;;;;;4 stones;21.67 m;;;;;0 reps;;7 in 28.27 s;;13 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Festival des Hommes Forts de Warwick;3;E. Singleton;USA;;;;;;;;;;;;;;;;;;;;;;;32.86 s;4 stones;18.9 m;;;;;1 rep;;4 in 51.56 s;;11 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Festival des Hommes Forts de Warwick;4;A. Šmaukstelis;LAT;;;;;;;;;;;;;;;;;;;;;;;31.06 s;4 stones;18.47 m;;;;;4 reps;;6 in ?;;10 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Festival des Hommes Forts de Warwick;5;M. Belšak;SLO;;;;;;;;;;;;;;;;;;;;;;;71.60 s;4 stones;20.09 m;;;;;5 reps;;4 in 44.80 s;;14 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Festival des Hommes Forts de Warwick;6;T. Mitchell;USA;;;;;;;;;;;;;;;;;;;;;;;;5 stones;14.88 m;;;;;7 reps;;6 in ?;;11 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Festival des Hommes Forts de Warwick;7;J. Paquet;CAN;;;;;;;;;;;;;;;;;;;;;;;;4 stones;17.86 m;;;;;10 reps;;6 in ?;;10 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Festival des Hommes Forts de Warwick;8;B. Thompson;USA;;;;;;;;;;;;;;;;;;;;;;;40.42 s;2 stones;13.46 m;;;;;7 reps;;4 in ?;;12 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Festival des Hommes Forts de Warwick;9;K. Hjelholt;CAN;;;;;;;;;;;;;;;;;;;;;;;;5 stones;17.02 m;;;;;9 reps;;5 in 12.02 s;;2 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Festival des Hommes Forts de Warwick;10;K. Faires;USA;;;;;;;;;;;;;;;;;;;;;;;36.03 s;4 stones;20.57 m;;;;;4 reps;;4 in 24.82 s;;9 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Festival des Hommes Forts de Warwick;11;T. Côté;CAN;;;;;;;;;;;;;;;;;;;;;;;;3 stones;14.81 m;;;;;1 rep;;3 in 42.15 s;;10 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Festival des Hommes Forts de Warwick;12;R. Gordzielik;GER;;;;;;;;;;;;;;;;;;;;;;;;2 stones;15.7 m;;;;;0 reps;;4 in 36.20 s;;7 reps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold USA;1;M. Licis;USA;;;;;;;;;;;;;;2 in 12.10 s;;;;;;;;;13.85 s;;;;;;3 reps;8 reps;;;;;;;;;;3 in 32.84 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold USA;2;B. Shaw;USA;;;;;;;;;;;;;;4 in 45.44 s;;;;;;;;;25.41 s;;;;;;3 reps;8 reps;;;;;;;;;;3 in 41.20 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold USA;3;M. Boudreault;CAN;;;;;;;;;;;;;;4 in 14.98 s;;;;;;;;;12.87 s;;;;;;5 reps;2 reps;;;;;;;;;;2 in 18.00 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold USA;4;R. Heinla;EST;;;;;;;;;;;;;;3 in 37.50 s;;;;;;;;;2.16 m;;;;;;4 reps;9 reps;;;;;;;;;;3 in 34.42 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold USA;5;J. Caron;CAN;;;;;;;;;;;;;;3 in 23.53 s;;;;;;;;;14.62 s;;;;;;1 rep;7 reps;;;;;;;;;;3 in 52.44 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold USA;6;J. Pritchett;USA;;;;;;;;;;;;;;2 in 18.46 s;;;;;;;;;17.07 s;;;;;;3 reps;7 reps;;;;;;;;;;2 in 17.49 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold USA;7;J. Kramer;NED;;;;;;;;;;;;;;3 in 57.07 s;;;;;;;;;20.72 s;;;;;;0 reps;6 reps;;;;;;;;;;2 in 23.91 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold USA;8;R. Kearney;USA;;;;;;;;;;;;;;1 in 9.21 s;;;;;;;;;5.21 m;;;;;;4 reps;6 reps;;;;;;;;;;2 in 24.10 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold USA;9;W. Claborn;USA;;;;;;;;;;;;;;2 in 17.30 s;;;;;;;;;1.78 m;;;;;;3 reps;4 reps;;;;;;;;;;2 in 17.45 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold USA;10;C. Garrison;USA;;;;;;;;;;;;;;2 in 8.92 s;;;;;;;;;2.57 m;;;;;;1 rep;1 rep;;;;;;;;;;2 in 24.83 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold USA;11;O. Novikov;UKR;;;;;;;;;;;;;;2 in 36.31 s;;;;;;;;;10.8 m;;;;;;2 reps;2 reps;;;;;;;;;;Withdrew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold USA;12;E. Williams;AUS;;;;;;;;;;;;;;1 in 31.46 s;;;;;;;;;26.78 s;;;;;;0 reps;0 reps;;;;;;;;;;2 in 33.24 s;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arnold USA;13;M. Belšak;SLO;;;;;;;;;;;;;;0 in 60.00 s;;;;;;;;;5.82 m;;;;;;1 rep;Withdrew;;;;;;;;;;Withdrew;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;Europe's Strongest Man;1;R. Kiri;FIN;;;;;;;;;;;;;;;;;;;;;;;;5 in 47.07 s;29.91 s;;;;;;;;;;18 in 44.69 s;;;;;;39.26 s;47.84 s;120 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;Europe's Strongest Man;2;M. Ver MagnÃºsson;ISL;;;;;;;;;;;;;;;;;;;;;;;;5 in 36.40 s;32.63 s;;;;;;;;;;16 stairs;;;;;;51.19 s;43.41 s;130 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;Europe's Strongest Man;3;B. Veneberg;NED;;;;;;;;;;;;;;;;;;;;;;;;5 in 49.07 s;33.22 s;;;;;;;;;;18 in 102.93 s;;;;;;63.66 s;46.07 s;130 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;Europe's Strongest Man;4;W. Zijlstra;NED;;;;;;;;;;;;;;;;;;;;;;;;5 in 37.05 s;31.69 s;;;;;;;;;;18 stairs;;;;;;49.79 s;39.90 s;No lift;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;Europe's Strongest Man;5;M. Samuelsson;SWE;;;;;;;;;;;;;;;;;;;;;;;;4 in 27.25 s;31.68 s;;;;;;;;;;12 stairs;;;;;;49.53 s;50.50 s;105 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;Europe's Strongest Man;6;F. Rasmussen;DEN;;;;;;;;;;;;;;;;;;;;;;;;3 in 34.35 s;28.34 s;;;;;;;;;;13 stairs;;;;;;11.43 m;39.88 s;130 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;Europe's Strongest Man;7;P. Smeets;NED;;;;;;;;;;;;;;;;;;;;;;;;4 in 28.05 s;29.34 s;;;;;;;;;;13 stairs;;;;;;77.02 s;29.72 s;115 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;Europe's Strongest Man;8;H. Ollesch;GER;;;;;;;;;;;;;;;;;;;;;;;;4 in 27.56 s;29.63 s;;;;;;;;;;15 stairs;;;;;;11.17 m;24.97 s;105 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1997;Europe's Strongest Man;9;J. Reeves;GBR;;;;;;;;;;;;;;;;;;;;;;;;4 in 44.09 s;33.57 s;;;;;;;;;;12 stairs;;;;;;76.37 s;37.36 s;110 kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
